x,y,u,v,p
0,0,0,0,8.19E-09
0.001,0,0,0,1.01E-05
0.002,0,0,0,2.80E-05
0.003,0,0,0,3.60E-05
0.004,0,0,0,2.63E-05
0.005,0,0,0,-4.78E-06
0.006,0,0,0,-5.74E-05
0.007,0,0,0,-0.00012973
0.008,0,0,0,-0.00021875
0.009,0,0,0,-0.00032117
0.01,0,0,0,-0.00043403
0.011,0,0,0,-0.00055507
0.012,0,0,0,-0.00068299
0.013,0,0,0,-0.00081741
0.014,0,0,0,-0.00095879
0.015,0,0,0,-0.0011083
0.016,0,0,0,-0.0012676
0.017,0,0,0,-0.0014384
0.018,0,0,0,-0.0016226
0.019,0,0,0,-0.0018219
0.02,0,0,0,-0.002038
0.021,0,0,0,-0.002272
0.022,0,0,0,-0.0025253
0.023,0,0,0,-0.0027985
0.024,0,0,0,-0.0030924
0.025,0,0,0,-0.0034073
0.026,0,0,0,-0.0037433
0.027,0,0,0,-0.0041
0.028,0,0,0,-0.0044765
0.029,0,0,0,-0.0048716
0.03,0,0,0,-0.005283
0.031,0,0,0,-0.0057084
0.032,0,0,0,-0.0061443
0.033,0,0,0,-0.0065869
0.034,0,0,0,-0.0070314
0.035,0,0,0,-0.0074721
0.036,0,0,0,-0.0079028
0.037,0,0,0,-0.0083165
0.038,0,0,0,-0.0087057
0.039,0,0,0,-0.0090625
0.04,0,0,0,-0.0093785
0.041,0,0,0,-0.0096452
0.042,0,0,0,-0.0098543
0.043,0,0,0,-0.0099975
0.044,0,0,0,-0.010067
0.045,0,0,0,-0.010056
0.046,0,0,0,-0.0099576
0.047,0,0,0,-0.0097674
0.048,0,0,0,-0.0094814
0.049,0,0,0,-0.0090976
0.05,0,0,0,-0.0086156
0.051,0,0,0,-0.0080374
0.052,0,0,0,-0.0073673
0.053,0,0,0,-0.0066119
0.054,0,0,0,-0.0057778
0.055,0,0,0,-0.0048727
0.056,0,0,0,-0.0039121
0.057,0,0,0,-0.0029146
0.058,0,0,0,-0.0018961
0.059,0,0,0,-0.00087547
0.06,0,0,0,0.0001273
0.061,0,0,0,0.001091
0.062,0,0,0,0.0019939
0.063,0,0,0,0.0028142
0.064,0,0,0,0.0035319
0.065,0,0,0,0.0041288
0.066,0,0,0,0.0045899
0.067,0,0,0,0.0049034
0.068,0,0,0,0.0050621
0.069,0,0,0,0.0050633
0.07,0,0,0,0.0049098
0.071,0,0,0,0.0046094
0.072,0,0,0,0.0041748
0.073,0,0,0,0.0036235
0.074,0,0,0,0.0029764
0.075,0,0,0,0.0022578
0.076,0,0,0,0.0014932
0.077,0,0,0,0.00070743
0.078,0,0,0,-7.62E-05
0.079,0,0,0,-0.00083603
0.08,0,0,0,-0.0015544
0.081,0,0,0,-0.0022167
0.082,0,0,0,-0.0028112
0.083,0,0,0,-0.0033332
0.084,0,0,0,-0.0037819
0.085,0,0,0,-0.0041583
0.086,0,0,0,-0.0044664
0.087,0,0,0,-0.0047123
0.088,0,0,0,-0.0049034
0.089,0,0,0,-0.0050473
0.09,0,0,0,-0.005152
0.091,0,0,0,-0.0052246
0.092,0,0,0,-0.0052713
0.093,0,0,0,-0.0052972
0.094,0,0,0,-0.0053063
0.095,0,0,0,-0.0053015
0.096,0,0,0,-0.0052853
0.097,0,0,0,-0.0052602
0.098,0,0,0,-0.0052305
0.099,0,0,0,-0.0052037
0.1,0,0,0,-0.0051923
0,0.001,0,0,-9.84E-06
0.001,0.001,0.00013198,-0.0001343,3.14E-07
0.002,0.001,0.0005279,-0.00031347,1.76E-05
0.003,0.001,0.0011624,-0.00045114,2.42E-05
0.004,0.001,0.0019441,-0.00052388,1.32E-05
0.005,0.001,0.0027791,-0.00053667,-1.82E-05
0.006,0.001,0.0035884,-0.00050252,-7.02E-05
0.007,0.001,0.0043129,-0.00043653,-0.00014107
0.008,0.001,0.0049152,-0.00035337,-0.00022798
0.009,0.001,0.0053769,-0.00026532,-0.0003279
0.01,0.001,0.0056953,-0.00018152,-0.00043807
0.011,0.001,0.0058794,-0.00010785,-0.00055639
0.012,0.001,0.0059441,-4.68E-05,-0.00068169
0.013,0.001,0.0059069,1.73E-06,-0.00081361
0.014,0.001,0.0057827,4.03E-05,-0.00095257
0.015,0.001,0.0055813,7.29E-05,-0.0010997
0.016,0.001,0.0053083,0.000103,-0.0012566
0.017,0.001,0.0049629,0.00013489,-0.0014249
0.018,0.001,0.0045392,0.00017142,-0.0016063
0.019,0.001,0.0040274,0.00021439,-0.0018027
0.02,0.001,0.0034153,0.00026517,-0.0020154
0.021,0.001,0.0026896,0.0003242,-0.002246
0.022,0.001,0.0018368,0.00039178,-0.0024956
0.023,0.001,0.00084248,0.00046838,-0.0027649
0.024,0.001,-0.00030817,0.00055422,-0.0030546
0.025,0.001,-0.0016287,0.00064912,-0.003365
0.026,0.001,-0.0031332,0.00075284,-0.003696
0.027,0.001,-0.0048342,0.00086485,-0.0040474
0.028,0.001,-0.0067403,0.0009842,-0.0044185
0.029,0.001,-0.0088574,0.0011101,-0.0048082
0.03,0.001,-0.01119,0.0012416,-0.0052145
0.031,0.001,-0.013737,0.0013775,-0.005635
0.032,0.001,-0.016498,0.0015155,-0.0060663
0.033,0.001,-0.019465,0.0016531,-0.0065047
0.034,0.001,-0.022628,0.0017881,-0.0069455
0.035,0.001,-0.025971,0.001918,-0.0073831
0.036,0.001,-0.029476,0.0020402,-0.0078116
0.037,0.001,-0.033118,0.0021518,-0.0082239
0.038,0.001,-0.036869,0.0022499,-0.0086128
0.039,0.001,-0.040698,0.0023316,-0.0089703
0.04,0.001,-0.044569,0.0023941,-0.0092882
0.041,0.001,-0.048443,0.0024349,-0.009558
0.042,0.001,-0.052281,0.0024513,-0.0097714
0.043,0.001,-0.056038,0.0024414,-0.0099201
0.044,0.001,-0.059671,0.002403,-0.0099963
0.045,0.001,-0.063135,0.0023347,-0.0099928
0.046,0.001,-0.066385,0.002235,-0.0099035
0.047,0.001,-0.069376,0.0021032,-0.0097231
0.048,0.001,-0.072065,0.0019384,-0.0094479
0.049,0.001,-0.074408,0.0017406,-0.0090756
0.05,0.001,-0.076364,0.0015099,-0.0086058
0.051,0.001,-0.077897,0.0012463,-0.0080406
0.052,0.001,-0.078968,0.00095337,-0.0073836
0.053,0.001,-0.079551,0.00062856,-0.0066407
0.054,0.001,-0.079613,0.00028153,-0.0058187
0.055,0.001,-0.079135,-7.62E-05,-0.0049277
0.056,0.001,-0.0781,-0.00045241,-0.0039822
0.057,0.001,-0.076488,-0.00084741,-0.0029983
0.058,0.001,-0.074303,-0.0012533,-0.0019923
0.059,0.001,-0.071548,-0.0016608,-0.00098305
0.06,0.001,-0.068234,-0.0020616,9.11E-06
0.061,0.001,-0.064383,-0.0024483,0.0009632
0.062,0.001,-0.060026,-0.0028128,0.0018576
0.063,0.001,-0.055204,-0.0031452,0.0026709
0.064,0.001,-0.049968,-0.0034358,0.0033828
0.065,0.001,-0.044382,-0.0036761,0.0039756
0.066,0.001,-0.038518,-0.003858,0.0044341
0.067,0.001,-0.032457,-0.0039743,0.0047467
0.068,0.001,-0.02629,-0.004019,0.0049062
0.069,0.001,-0.02011,-0.0039879,0.00491
0.07,0.001,-0.014019,-0.0038791,0.0047607
0.071,0.001,-0.0081188,-0.003693,0.004466
0.072,0.001,-0.0025093,-0.0034339,0.0040388
0.073,0.001,0.0027125,-0.0031087,0.0034963
0.074,0.001,0.0074582,-0.0027268,0.0028598
0.075,0.001,0.01165,-0.0022988,0.0021527
0.076,0.001,0.015229,-0.0018383,0.0013999
0.077,0.001,0.018154,-0.0013632,0.00062638
0.078,0.001,0.020402,-0.00089208,-0.00014424
0.079,0.001,0.021973,-0.00044348,-0.0008904
0.08,0.001,0.02288,-2.93E-05,-0.0015943
0.081,0.001,0.023163,0.00034032,-0.0022424
0.082,0.001,0.022887,0.00065082,-0.0028243
0.083,0.001,0.022124,0.00089922,-0.0033349
0.084,0.001,0.020958,0.0010862,-0.0037734
0.085,0.001,0.019479,0.0012109,-0.0041414
0.086,0.001,0.017777,0.0012784,-0.0044428
0.087,0.001,0.015936,0.0012956,-0.0046838
0.088,0.001,0.014034,0.0012717,-0.0048716
0.089,0.001,0.012135,0.0012168,-0.0050138
0.09,0.001,0.010291,0.0011409,-0.0051181
0.091,0.001,0.0085391,0.0010527,-0.0051913
0.092,0.001,0.0069029,0.00095884,-0.0052394
0.093,0.001,0.0053983,0.00086292,-0.0052675
0.094,0.001,0.0040361,0.000765,-0.0052793
0.095,0.001,0.0028279,0.00066083,-0.0052778
0.096,0.001,0.0017923,0.00054197,-0.0052653
0.097,0.001,0.00095937,0.00039813,-0.005244
0.098,0.001,0.00037067,0.00022579,-0.0052174
0.099,0.001,6.18E-05,5.50E-05,-0.0051919
0.1,0.001,0,0,-0.0051805
0,0.002,0,0,-2.78E-05
0.001,0.002,0.00030658,-0.00052669,-1.69E-05
0.002,0.002,0.0010424,-0.0010491,6.24E-07
0.003,0.002,0.0021298,-0.001431,5.33E-06
0.004,0.002,0.0034222,-0.0016287,-7.82E-06
0.005,0.002,0.0047737,-0.0016542,-4.01E-05
0.006,0.002,0.0060642,-0.0015416,-9.14E-05
0.007,0.002,0.0072029,-0.0013324,-0.00016
0.008,0.002,0.0081299,-0.0010676,-0.00024336
0.009,0.002,0.0088133,-0.00078201,-0.00033871
0.01,0.002,0.0092451,-0.00050302,-0.00044366
0.011,0.002,0.0094352,-0.00024891,-0.00055642
0.012,0.002,0.0094018,-2.72E-05,-0.00067599
0.013,0.002,0.0091664,0.00016254,-0.00080213
0.014,0.002,0.0087467,0.0003271,-0.00093528
0.015,0.002,0.0081549,0.0004764,-0.0010766
0.016,0.002,0.0073958,0.00062097,-0.0012275
0.017,0.002,0.006466,0.00077148,-0.0013897
0.018,0.002,0.0053538,0.00093729,-0.0015648
0.019,0.002,0.0040415,0.0011253,-0.0017543
0.02,0.002,0.0025071,0.0013395,-0.0019597
0.021,0.002,0.0007257,0.0015824,-0.0021822
0.022,0.002,-0.0013279,0.0018549,-0.002423
0.023,0.002,-0.0036764,0.0021569,-0.0026831
0.024,0.002,-0.0063415,0.0024875,-0.0029632
0.025,0.002,-0.0093423,0.0028457,-0.0032637
0.026,0.002,-0.012695,0.003229,-0.0035846
0.027,0.002,-0.016412,0.0036336,-0.0039257
0.028,0.002,-0.0205,0.0040545,-0.0042867
0.029,0.002,-0.024959,0.0044865,-0.0046665
0.03,0.002,-0.029784,0.0049239,-0.0050637
0.031,0.002,-0.034959,0.00536,-0.005476
0.032,0.002,-0.040465,0.0057872,-0.0059005
0.033,0.002,-0.046273,0.0061972,-0.0063334
0.034,0.002,-0.052348,0.0065813,-0.0067704
0.035,0.002,-0.058646,0.0069305,-0.0072062
0.036,0.002,-0.065118,0.0072357,-0.007635
0.037,0.002,-0.071706,0.007488,-0.00805
0.038,0.002,-0.07835,0.0076793,-0.008444
0.039,0.002,-0.084985,0.007802,-0.0088092
0.04,0.002,-0.091542,0.0078498,-0.0091372
0.041,0.002,-0.097951,0.007817,-0.0094196
0.042,0.002,-0.10414,0.0076995,-0.0096479
0.043,0.002,-0.11005,0.007494,-0.0098139
0.044,0.002,-0.1156,0.0071985,-0.0099094
0.045,0.002,-0.12074,0.0068122,-0.0099273
0.046,0.002,-0.12539,0.0063353,-0.009861
0.047,0.002,-0.12951,0.0057688,-0.0097052
0.048,0.002,-0.13303,0.0051152,-0.009456
0.049,0.002,-0.13592,0.0043774,-0.0091108
0.05,0.002,-0.13812,0.0035597,-0.0086692
0.051,0.002,-0.13959,0.0026665,-0.0081327
0.052,0.002,-0.14031,0.0017082,-0.0075043
0.053,0.002,-0.14024,0.00068853,-0.006789
0.054,0.002,-0.13937,-0.00037993,-0.0059948
0.055,0.002,-0.13768,-0.0014822,-0.005133
0.056,0.002,-0.13516,-0.0026166,-0.0042167
0.057,0.002,-0.13182,-0.0037702,-0.0032597
0.058,0.002,-0.12766,-0.0049249,-0.0022786
0.059,0.002,-0.12271,-0.0060636,-0.0012922
0.06,0.002,-0.11698,-0.0071689,-0.00032064
0.061,0.002,-0.11052,-0.0082224,0.00061521
0.062,0.002,-0.10338,-0.0092044,0.0014944
0.063,0.002,-0.095613,-0.010092,0.0022957
0.064,0.002,-0.087294,-0.010864,0.0029991
0.065,0.002,-0.078503,-0.0115,0.0035868
0.066,0.002,-0.069334,-0.011981,0.0040439
0.067,0.002,-0.059891,-0.01229,0.0043588
0.068,0.002,-0.050288,-0.012411,0.0045241
0.069,0.002,-0.040645,-0.012336,0.004537
0.07,0.002,-0.03109,-0.012057,0.0044
0.071,0.002,-0.021754,-0.011573,0.0041206
0.072,0.002,-0.012768,-0.010891,0.0037114
0.073,0.002,-0.0042644,-0.010024,0.0031896
0.074,0.002,0.003631,-0.0089904,0.002576
0.075,0.002,0.0108,-0.0078156,0.0018936
