x,y,u,v,p
0,0,0,0,7.69E-09
0.001,0,0,0,8.69E-06
0.002,0,0,0,2.38E-05
0.003,0,0,0,2.98E-05
0.004,0,0,0,1.98E-05
0.005,0,0,0,-8.83E-06
0.006,0,0,0,-5.63E-05
0.007,0,0,0,-0.00012159
0.008,0,0,0,-0.00020299
0.009,0,0,0,-0.00029853
0.01,0,0,0,-0.00040632
0.011,0,0,0,-0.00052476
0.012,0,0,0,-0.00065262
0.013,0,0,0,-0.00078912
0.014,0,0,0,-0.00093392
0.015,0,0,0,-0.0010871
0.016,0,0,0,-0.001249
0.017,0,0,0,-0.0014201
0.018,0,0,0,-0.0016013
0.019,0,0,0,-0.0017931
0.02,0,0,0,-0.0019962
0.021,0,0,0,-0.0022113
0.022,0,0,0,-0.0024386
0.023,0,0,0,-0.0026784
0.024,0,0,0,-0.0029304
0.025,0,0,0,-0.0031943
0.026,0,0,0,-0.0034694
0.027,0,0,0,-0.0037545
0.028,0,0,0,-0.0040482
0.029,0,0,0,-0.0043487
0.03,0,0,0,-0.0046539
0.031,0,0,0,-0.004961
0.032,0,0,0,-0.0052669
0.033,0,0,0,-0.0055683
0.034,0,0,0,-0.0058611
0.035,0,0,0,-0.006141
0.036,0,0,0,-0.0064036
0.037,0,0,0,-0.0066438
0.038,0,0,0,-0.0068566
0.039,0,0,0,-0.007037
0.04,0,0,0,-0.0071798
0.041,0,0,0,-0.0072801
0.042,0,0,0,-0.0073333
0.043,0,0,0,-0.0073352
0.044,0,0,0,-0.0072824
0.045,0,0,0,-0.0071722
0.046,0,0,0,-0.0070026
0.047,0,0,0,-0.0067732
0.048,0,0,0,-0.0064843
0.049,0,0,0,-0.0061379
0.05,0,0,0,-0.0057378
0.051,0,0,0,-0.0052883
0.052,0,0,0,-0.0047946
0.053,0,0,0,-0.004265
0.054,0,0,0,-0.0037092
0.055,0,0,0,-0.0031372
0.056,0,0,0,-0.0025599
0.057,0,0,0,-0.0019894
0.058,0,0,0,-0.0014383
0.059,0,0,0,-0.00091911
0.06,0,0,0,-0.00044437
0.061,0,0,0,-2.58E-05
0.062,0,0,0,0.00032577
0.063,0,0,0,0.00060112
0.064,0,0,0,0.00079275
0.065,0,0,0,0.00089531
0.066,0,0,0,0.00090583
0.067,0,0,0,0.00082387
0.068,0,0,0,0.00065159
0.069,0,0,0,0.00039367
0.07,0,0,0,5.70E-05
0.071,0,0,0,-0.00034934
0.072,0,0,0,-0.0008146
0.073,0,0,0,-0.0013269
0.074,0,0,0,-0.0018733
