x,y,u,v,p
0,0,0,0,6.87E-09
0.001,0,0,0,9.78E-06
0.002,0,0,0,2.71E-05
0.003,0,0,0,3.49E-05
0.004,0,0,0,2.56E-05
0.005,0,0,0,-4.05E-06
0.006,0,0,0,-5.43E-05
0.007,0,0,0,-0.00012387
0.008,0,0,0,-0.00021031
0.009,0,0,0,-0.000311
0.01,0,0,0,-0.00042348
0.011,0,0,0,-0.00054576
0.012,0,0,0,-0.00067651
0.013,0,0,0,-0.00081507
0.014,0,0,0,-0.00096146
0.015,0,0,0,-0.0011163
0.016,0,0,0,-0.0012805
0.017,0,0,0,-0.0014554
0.018,0,0,0,-0.0016423
0.019,0,0,0,-0.0018424
0.02,0,0,0,-0.0020571
0.021,0,0,0,-0.0022873
0.022,0,0,0,-0.0025337
0.023,0,0,0,-0.0027971
0.024,0,0,0,-0.0030775
0.025,0,0,0,-0.003375
0.026,0,0,0,-0.0036892
0.027,0,0,0,-0.0040192
0.028,0,0,0,-0.0043639
0.029,0,0,0,-0.0047214
0.03,0,0,0,-0.0050896
0.031,0,0,0,-0.0054657
0.032,0,0,0,-0.0058462
0.033,0,0,0,-0.0062273
0.034,0,0,0,-0.0066043
0.035,0,0,0,-0.006972
0.036,0,0,0,-0.0073247
0.037,0,0,0,-0.0076561
0.038,0,0,0,-0.0079598
0.039,0,0,0,-0.0082288
0.04,0,0,0,-0.0084562
0.041,0,0,0,-0.0086348
0.042,0,0,0,-0.008758
0.043,0,0,0,-0.0088193
0.044,0,0,0,-0.0088129
0.045,0,0,0,-0.0087337
0.046,0,0,0,-0.0085778
0.047,0,0,0,-0.0083423
0.048,0,0,0,-0.0080258
0.049,0,0,0,-0.0076286
0.05,0,0,0,-0.0071527
0.051,0,0,0,-0.0066027
0.052,0,0,0,-0.0059839
0.053,0,0,0,-0.005303
0.054,0,0,0,-0.0045685
0.055,0,0,0,-0.0037938
0.056,0,0,0,-0.0029942
0.057,0,0,0,-0.0021833
0.058,0,0,0,-0.0013769
0.059,0,0,0,-0.00059227
0.06,0,0,0,0.00015291
0.061,0,0,0,0.00084105
0.062,0,0,0,0.0014554
0.063,0,0,0,0.0019806
0.064,0,0,0,0.0024031
0.065,0,0,0,0.0027119
0.066,0,0,0,0.0028991
0.067,0,0,0,0.0029602
0.068,0,0,0,0.0028946
0.069,0,0,0,0.0027056
0.07,0,0,0,0.0024005
0.071,0,0,0,0.0019899
0.072,0,0,0,0.0014878
0.073,0,0,0,0.00091076
0.074,0,0,0,0.00027712
0.075,0,0,0,-0.00039386
0.076,0,0,0,-0.0010836
0.077,0,0,0,-0.001774
0.078,0,0,0,-0.002449
0.079,0,0,0,-0.003095
0.08,0,0,0,-0.0037003
0.081,0,0,0,-0.0042559
0.082,0,0,0,-0.0047563
0.083,0,0,0,-0.005199
0.084,0,0,0,-0.0055839
0.085,0,0,0,-0.0059125
0.086,0,0,0,-0.0061879
0.087,0,0,0,-0.0064144
0.088,0,0,0,-0.0065968
0.089,0,0,0,-0.0067406
0.09,0,0,0,-0.0068508
0.091,0,0,0,-0.0069322
0.092,0,0,0,-0.0069889
0.093,0,0,0,-0.0070243
0.094,0,0,0,-0.0070411
0.095,0,0,0,-0.0070416
0.096,0,0,0,-0.0070278
0.097,0,0,0,-0.0070028
0.098,0,0,0,-0.0069715
