x,y,u,v,p
0,0,0,0,9.30E-09
0.001,0,0,0,7.32E-06
0.002,0,0,0,1.90E-05
0.003,0,0,0,2.04E-05
0.004,0,0,0,5.85E-06
0.005,0,0,0,-2.65E-05
0.006,0,0,0,-7.64E-05
0.007,0,0,0,-0.00014279
0.008,0,0,0,-0.00022418
0.009,0,0,0,-0.00031895
0.01,0,0,0,-0.00042559
0.011,0,0,0,-0.00054279
0.012,0,0,0,-0.0006695
0.013,0,0,0,-0.00080497
0.014,0,0,0,-0.00094868
0.015,0,0,0,-0.0011004
0.016,0,0,0,-0.00126
0.017,0,0,0,-0.0014276
0.018,0,0,0,-0.0016032
0.019,0,0,0,-0.0017871
0.02,0,0,0,-0.0019792
0.021,0,0,0,-0.0021798
0.022,0,0,0,-0.0023885
0.023,0,0,0,-0.0026052
0.024,0,0,0,-0.0028293
0.025,0,0,0,-0.0030602
0.026,0,0,0,-0.0032968
0.027,0,0,0,-0.003538
0.028,0,0,0,-0.0037824
0.029,0,0,0,-0.0040281
0.03,0,0,0,-0.0042732
0.031,0,0,0,-0.0045153
0.032,0,0,0,-0.004752
0.033,0,0,0,-0.0049803
0.034,0,0,0,-0.0051974
0.035,0,0,0,-0.0053999
0.036,0,0,0,-0.0055846
0.037,0,0,0,-0.005748
0.038,0,0,0,-0.0058867
0.039,0,0,0,-0.0059973
0.04,0,0,0,-0.0060765
0.041,0,0,0,-0.0061213
0.042,0,0,0,-0.0061291
0.043,0,0,0,-0.0060975
0.044,0,0,0,-0.0060249
0.045,0,0,0,-0.0059102
0.046,0,0,0,-0.0057531
0.047,0,0,0,-0.0055539
0.048,0,0,0,-0.005314
0.049,0,0,0,-0.0050359
0.05,0,0,0,-0.004723
0.051,0,0,0,-0.004379
0.052,0,0,0,-0.0040084
0.053,0,0,0,-0.003618
0.054,0,0,0,-0.0032149
0.055,0,0,0,-0.0028064
0.056,0,0,0,-0.0024004
0.057,0,0,0,-0.0020055
0.058,0,0,0,-0.0016301
0.059,0,0,0,-0.0012828
0.06,0,0,0,-0.00097181
0.061,0,0,0,-0.00070473
0.062,0,0,0,-0.00048844
0.063,0,0,0,-0.00032875
0.064,0,0,0,-0.00023026
0.065,0,0,0,-0.00019617
0.066,0,0,0,-0.00022818
0.067,0,0,0,-0.00032637
0.068,0,0,0,-0.00048923
0.069,0,0,0,-0.00071372
0.07,0,0,0,-0.00099532
0.071,0,0,0,-0.0013283
0.072,0,0,0,-0.0017057
0.073,0,0,0,-0.00212
0.074,0,0,0,-0.0025628
0.075,0,0,0,-0.0030257
0.076,0,0,0,-0.0035003
0.077,0,0,0,-0.0039783
0.078,0,0,0,-0.0044522
0.079,0,0,0,-0.0049151
0.08,0,0,0,-0.0053609
0.081,0,0,0,-0.0057846
0.082,0,0,0,-0.0061819
0.083,0,0,0,-0.0065499
0.084,0,0,0,-0.0068864
0.085,0,0,0,-0.0071902
0.086,0,0,0,-0.0074609
0.087,0,0,0,-0.0076986
0.088,0,0,0,-0.007904
0.089,0,0,0,-0.0080779
0.09,0,0,0,-0.0082216
0.091,0,0,0,-0.0083364
0.092,0,0,0,-0.0084234
0.093,0,0,0,-0.0084839
0.094,0,0,0,-0.008519
0.095,0,0,0,-0.0085304
0.096,0,0,0,-0.0085206
0.097,0,0,0,-0.0084937
0.098,0,0,0,-0.0084568
0.099,0,0,0,-0.0084221
0.1,0,0,0,-0.0084072
0,0.001,0,0,-7.31E-06
0.001,0.001,5.44E-05,-5.42E-05,1.71E-09
0.002,0.001,0.00019365,-0.00011153,1.12E-05
0.003,0.001,0.00040299,-0.00015021,1.17E-05
0.004,0.001,0.00065049,-0.00016737,-3.55E-06
0.005,0.001,0.00090635,-0.00016717,-3.58E-05
0.006,0.001,0.0011481,-0.00015434,-8.47E-05
0.007,0.001,0.0013597,-0.0001329,-0.00014953
0.008,0.001,0.0015296,-0.000106,-0.00022879
0.009,0.001,0.0016509,-7.60E-05,-0.00032104
0.01,0.001,0.0017193,-4.46E-05,-0.0004249
0.011,0.001,0.001733,-1.30E-05,-0.00053916
0.012,0.001,0.0016916,1.81E-05,-0.00066284
0.013,0.001,0.0015955,4.85E-05,-0.00079521
0.014,0.001,0.0014454,7.80E-05,-0.00093581
0.015,0.001,0.0012422,0.0001069,-0.0010844
0.016,0.001,0.0009864,0.00013538,-0.0012408
0.017,0.001,0.00067799,0.00016382,-0.0014052
0.018,0.001,0.00031651,0.00019263,-0.0015776
0.019,0.001,-9.92E-05,0.00022224,-0.0017581
0.02,0.001,-0.00057075,0.00025301,-0.0019469
0.021,0.001,-0.0011002,0.00028519,-0.002144
0.022,0.001,-0.0016899,0.00031895,-0.0023491
0.023,0.001,-0.002342,0.00035433,-0.0025622
0.024,0.001,-0.0030587,0.00039126,-0.0027826
0.025,0.001,-0.0038418,0.00042958,-0.0030098
0.026,0.001,-0.0046929,0.00046903,-0.0032427
0.027,0.001,-0.0056126,0.00050928,-0.0034803
0.028,0.001,-0.0066013,0.0005499,-0.0037211
0.029,0.001,-0.0076579,0.00059039,-0.0039634
0.03,0.001,-0.0087807,0.00063017,-0.0042053
0.031,0.001,-0.0099667,0.00066859,-0.0044446
0.032,0.001,-0.011212,0.00070494,-0.0046788
0.033,0.001,-0.012511,0.00073847,-0.0049051
0.034,0.001,-0.013856,0.00076836,-0.0051205
0.035,0.001,-0.015241,0.00079379,-0.0053221
0.036,0.001,-0.016654,0.00081391,-0.0055064
0.037,0.001,-0.018086,0.00082785,-0.0056702
0.038,0.001,-0.019525,0.0008348,-0.0058099
0.039,0.001,-0.020956,0.00083395,-0.0059224
0.04,0.001,-0.022365,0.00082455,-0.0060043
0.041,0.001,-0.023738,0.00080594,-0.0060526
0.042,0.001,-0.025058,0.00077755,-0.0060648
0.043,0.001,-0.026308,0.00073895,-0.0060384
0.044,0.001,-0.027471,0.00068982,-0.0059719
0.045,0.001,-0.02853,0.00063002,-0.0058641
0.046,0.001,-0.029468,0.00055957,-0.0057146
0.047,0.001,-0.03027,0.00047868,-0.0055237
0.048,0.001,-0.030918,0.00038767,-0.0052927
0.049,0.001,-0.0314,0.00028688,-0.0050241
0.05,0.001,-0.031702,0.00017864,-0.0047211
0.051,0.001,-0.031812,6.30E-05,-0.0043869
0.052,0.001,-0.031724,-5.91E-05,-0.0040267
0.053,0.001,-0.031428,-0.00018516,-0.0036469
0.054,0.001,-0.030921,-0.00031417,-0.0032543
0.055,0.001,-0.030203,-0.00044413,-0.0028559
0.056,0.001,-0.029275,-0.00057285,-0.0024598
0.057,0.001,-0.028142,-0.00069815,-0.0020742
0.058,0.001,-0.026812,-0.0008178,-0.0017076
0.059,0.001,-0.025299,-0.00092954,-0.0013683
0.06,0.001,-0.023616,-0.0010312,-0.0010645
0.061,0.001,-0.021782,-0.0011206,-0.00080373
0.062,0.001,-0.019818,-0.0011958,-0.00059266
0.063,0.001,-0.017748,-0.0012553,-0.00043707
0.064,0.001,-0.015597,-0.0012975,-0.00034149
0.065,0.001,-0.013395,-0.0013215,-0.00030909
0.066,0.001,-0.011169,-0.0013266,-0.00034151
0.067,0.001,-0.0089486,-0.0013127,-0.00043885
0.068,0.001,-0.0067638,-0.0012802,-0.00059961
0.069,0.001,-0.004643,-0.0012298,-0.00082078
0.07,0.001,-0.0026133,-0.0011629,-0.0010979
0.071,0.001,-0.00069985,-0.001081,-0.0014253
0.072,0.001,0.0010752,-0.00098645,-0.0017962
0.073,0.001,0.0026926,-0.00088141,-0.002203
0.074,0.001,0.004137,-0.00076849,-0.0026377
0.075,0.001,0.0053971,-0.00065048,-0.0030921
0.076,0.001,0.0064657,-0.00053026,-0.0035576
0.077,0.001,0.0073395,-0.00041035,-0.0040264
0.078,0.001,0.008019,-0.00029297,-0.004491
0.079,0.001,0.0085085,-0.0001805,-0.0049446
0.08,0.001,0.0088164,-7.51E-05,-0.0053813
0.081,0.001,0.0089535,2.16E-05,-0.0057964
0.082,0.001,0.0089332,0.00010881,-0.0061857
0.083,0.001,0.0087706,0.00018572,-0.0065463
0.084,0.001,0.0084816,0.00025213,-0.0068761
0.085,0.001,0.0080828,0.00030804,-0.0071741
0.086,0.001,0.0075912,0.00035368,-0.0074396
0.087,0.001,0.007023,0.00038958,-0.007673
0.088,0.001,0.0063942,0.00041638,-0.0078749
0.089,0.001,0.0057199,0.00043475,-0.0080462
0.09,0.001,0.0050145,0.00044517,-0.0081881
0.091,0.001,0.004292,0.00044779,-0.0083019
0.092,0.001,0.0035667,0.00044223,-0.0083889
0.093,0.001,0.0028537,0.00042737,-0.0084502
0.094,0.001,0.0021705,0.00040127,-0.0084873
0.095,0.001,0.0015375,0.00036107,-0.0085017
0.096,0.001,0.00097921,0.00030338,-0.0084958
0.097,0.001,0.00052401,0.00022538,-0.0084733
0.098,0.001,0.00020215,0.00012892,-0.0084402
0.099,0.001,3.43E-05,3.35E-05,-0.0084071
0.1,0.001,0,0,-0.0083921
0,0.002,0,0,-1.90E-05
0.001,0.002,0.00011234,-0.00019371,-1.13E-05
0.002,0.002,0.00035905,-0.00035768,-7.97E-08
0.003,0.002,0.00070552,-0.00046309,-8.88E-07
0.004,0.002,0.0011022,-0.00050748,-1.72E-05
0.005,0.002,0.0015034,-0.00050112,-4.92E-05
0.006,0.002,0.0018741,-0.00045624,-9.65E-05
0.007,0.002,0.0021877,-0.00038386,-0.00015829
0.008,0.002,0.002425,-0.00029304,-0.0002335
0.009,0.002,0.0025729,-0.00019092,-0.0003209
0.01,0.002,0.0026231,-8.28E-05,-0.00041932
0.011,0.002,0.002571,2.76E-05,-0.00052774
0.012,0.002,0.0024145,0.00013793,-0.00064529
0.013,0.002,0.0021531,0.00024707,-0.00077136
0.014,0.002,0.0017869,0.00035459,-0.00090553
0.015,0.002,0.0013164,0.00046081,-0.0010476
0.016,0.002,0.00074151,0.0005665,-0.0011974
0.017,0.002,6.14E-05,0.00067272,-0.001355
0.018,0.002,-0.00072525,0.00078065,-0.0015206
0.019,0.002,-0.0016206,0.00089137,-0.0016942
0.02,0.002,-0.0026275,0.0010058,-0.001876
0.021,0.002,-0.0037492,0.0011245,-0.0020658
0.022,0.002,-0.004989,0.0012477,-0.0022637
0.023,0.002,-0.0063504,0.0013755,-0.0024694
0.024,0.002,-0.007836,0.0015074,-0.0026825
0.025,0.002,-0.009448,0.0016426,-0.0029023
0.026,0.002,-0.011187,0.0017802,-0.0031281
0.027,0.002,-0.013054,0.0019187,-0.0033587
0.028,0.002,-0.015046,0.0020566,-0.0035929
0.029,0.002,-0.01716,0.0021918,-0.0038291
0.03,0.002,-0.01939,0.0023223,-0.0040655
0.031,0.002,-0.021728,0.0024457,-0.0043
0.032,0.002,-0.024163,0.0025595,-0.0045302
0.033,0.002,-0.026685,0.0026611,-0.0047536
0.034,0.002,-0.029276,0.0027477,-0.0049673
0.035,0.002,-0.03192,0.0028166,-0.0051684
0.036,0.002,-0.034598,0.002865,-0.0053536
0.037,0.002,-0.037287,0.0028904,-0.0055196
0.038,0.002,-0.039963,0.0028901,-0.0056633
0.039,0.002,-0.042601,0.0028619,-0.0057812
0.04,0.002,-0.045174,0.0028037,-0.0058702
0.041,0.002,-0.047653,0.0027139,-0.0059273
0.042,0.002,-0.050009,0.0025909,-0.0059498
0.043,0.002,-0.052213,0.002434,-0.0059354
0.044,0.002,-0.054235,0.0022429,-0.0058823
0.045,0.002,-0.056046,0.0020175,-0.0057893
0.046,0.002,-0.057618,0.0017588,-0.0056558
0.047,0.002,-0.058926,0.0014679,-0.0054821
0.048,0.002,-0.059944,0.0011467,-0.0052693
0.049,0.002,-0.060652,0.0007975,-0.0050196
0.05,0.002,-0.061028,0.00042535,-0.0047358
0.051,0.002,-0.061059,3.33E-05,-0.004421
0.052,0.002,-0.060732,-0.00037547,-0.0040808
0.053,0.002,-0.06004,-0.00079465,-0.003721
0.054,0.002,-0.058978,-0.0012192,-0.0033477
0.055,0.002,-0.057549,-0.001643,-0.002968
0.056,0.002,-0.055759,-0.0020597,-0.0025898
0.057,0.002,-0.05362,-0.0024627,-0.0022211
0.058,0.002,-0.051147,-0.0028453,-0.0018701
0.059,0.002,-0.048363,-0.003201,-0.001545
0.06,0.002,-0.045293,-0.0035232,-0.0012538
0.061,0.002,-0.041971,-0.0038059,-0.0010038
0.062,0.002,-0.03843,-0.0040435,-0.00080162
0.063,0.002,-0.034711,-0.0042311,-0.00065292
0.064,0.002,-0.030857,-0.0043648,-0.00056213
0.065,0.002,-0.026912,-0.0044416,-0.00053237
0.066,0.002,-0.022925,-0.0044597,-0.00056525
0.067,0.002,-0.018944,-0.0044187,-0.00066085
0.068,0.002,-0.015017,-0.0043195,-0.00081772
0.069,0.002,-0.011191,-0.0041641,-0.0010329
0.07,0.002,-0.007512,-0.0039563,-0.001302
0.071,0.002,-0.0040214,-0.0037009,-0.0016194
0.072,0.002,-0.00075789,-0.0034039,-0.0019785
0.073,0.002,0.002245,-0.0030721,-0.0023721
0.074,0.002,0.0049593,-0.0027133,-0.0027922
0.075,0.002,0.0073634,-0.0023357,-0.0032308
0.076,0.002,0.0094418,-0.0019476,-0.0036798
0.077,0.002,0.011185,-0.0015568,-0.0041314
0.078,0.002,0.012592,-0.0011712,-0.0045786
0.079,0.002,0.013666,-0.00079833,-0.0050147
0.08,0.002,0.014417,-0.00044447,-0.0054343
0.081,0.002,0.014859,-0.00011468,-0.0058326
0.082,0.002,0.015013,0.0001867,-0.006206
0.083,0.002,0.014902,0.00045665,-0.0065518
0.084,0.002,0.014552,0.00069371,-0.006868
0.085,0.002,0.013991,0.00089728,-0.0071537
0.086,0.002,0.013246,0.0010674,-0.0074084
0.087,0.002,0.012347,0.001205,-0.0076326
0.088,0.002,0.011323,0.0013115,-0.0078267
0.089,0.002,0.0102,0.0013883,-0.007992
0.09,0.002,0.0090063,0.0014366,-0.0081296
0.091,0.002,0.0077688,0.0014566,-0.0082409
0.092,0.002,0.0065148,0.0014469,-0.0083271
0.093,0.002,0.0052733,0.0014046,-0.0083896
0.094,0.002,0.0040758,0.0013245,-0.0084298
0.095,0.002,0.0029581,0.0011995,-0.0084493
0.096,0.002,0.0019604,0.0010217,-0.0084501
0.097,0.002,0.0011268,0.00078613,-0.0084348
0.098,0.002,0.00050513,0.0004991,-0.0084069
0.099,0.002,0.00013261,0.00020253,-0.0083738
0.1,0.002,0,0,-0.0083573
0,0.003,0,0,-2.04E-05
0.001,0.003,0.00015225,-0.00040442,-1.18E-05
