x,y,u,v,p
0.0,0.0,0.0,0.0,-9.27777777777778e-11
0.001,0.0,0.0,0.0,6.333333333333334e-07
0.002,0.0,0.0,0.0,-2.1888888888888894e-05
0.003,0.0,0.0,0.0,-9.805555555555556e-05
0.004,0.0,0.0,0.0,-0.00023
0.005,0.0,0.0,0.0,-0.00040852777777777784
0.006,0.0,0.0,0.0,-0.0006232777777777778
0.007,0.0,0.0,0.0,-0.0008647777777777779
0.008,0.0,0.0,0.0,-0.0011242500000000002
0.009,0.0,0.0,0.0,-0.0013939444444444448
0.01,0.0,0.0,0.0,-0.0016670833333333336
0.011,0.0,0.0,0.0,-0.0019378611111111113
0.012,0.0,0.0,0.0,-0.0022013611111111114
0.013,0.0,0.0,0.0,-0.002453388888888889
0.014,0.0,0.0,0.0,-0.0026904722222222226
0.015,0.0,0.0,0.0,-0.002909722222222223
0.016,0.0,0.0,0.0,-0.0031086111111111115
0.017,0.0,0.0,0.0,-0.0032852777777777785
0.018,0.0,0.0,0.0,-0.003438055555555556
0.019,0.0,0.0,0.0,-0.0035655555555555558
0.02,0.0,0.0,0.0,-0.003666944444444445
0.021,0.0,0.0,0.0,-0.0037413888888888896
0.022,0.0,0.0,0.0,-0.003788333333333334
0.023,0.0,0.0,0.0,-0.0038072222222222227
0.024,0.0,0.0,0.0,-0.0037977777777777784
0.025,0.0,0.0,0.0,-0.003760277777777778
0.026,0.0,0.0,0.0,-0.003694166666666667
0.027,0.0,0.0,0.0,-0.0035997222222222225
0.028,0.0,0.0,0.0,-0.0034775000000000006
0.029,0.0,0.0,0.0,-0.0033269444444444444
0.03,0.0,0.0,0.0,-0.0031488888888888894
0.031,0.0,0.0,0.0,-0.0029436111111111117
0.032,0.0,0.0,0.0,-0.0027116388888888893
0.033,0.0,0.0,0.0,-0.002453277777777778
0.034,0.0,0.0,0.0,-0.0021691388888888893
0.035,0.0,0.0,0.0,-0.0018598611111111114
0.036,0.0,0.0,0.0,-0.001526138888888889
0.037,0.0,0.0,0.0,-0.00116875
0.038,0.0,0.0,0.0,-0.0007885
0.039,0.0,0.0,0.0,-0.00038636111111111114
0.04,0.0,0.0,0.0,3.666666666666667e-05
0.041,0.0,0.0,0.0,0.000479638888888889
0.042,0.0,0.0,0.0,0.0009411944444444445
0.043,0.0,0.0,0.0,0.0014201111111111114
0.044,0.0,0.0,0.0,0.001915055555555556
0.045,0.0,0.0,0.0,0.0024245
0.046,0.0,0.0,0.0,0.0029469444444444447
0.047,0.0,0.0,0.0,0.0034805555555555557
0.048,0.0,0.0,0.0,0.004023888888888889
0.049,0.0,0.0,0.0,0.004574722222222223
0.05,0.0,0.0,0.0,0.005131388888888889
0.051,0.0,0.0,0.0,0.00569138888888889
0.052,0.0,0.0,0.0,0.006253333333333335
0.053,0.0,0.0,0.0,0.006814166666666668
0.054,0.0,0.0,0.0,0.007372222222222224
0.055,0.0,0.0,0.0,0.007925000000000001
0.056,0.0,0.0,0.0,0.00847027777777778
0.057,0.0,0.0,0.0,0.009005277777777779
0.058,0.0,0.0,0.0,0.009528055555555557
0.059,0.0,0.0,0.0,0.010035833333333334
0.06,0.0,0.0,0.0,0.01052638888888889
0.061,0.0,0.0,0.0,0.010997500000000002
0.062,0.0,0.0,0.0,0.011446666666666667
0.063,0.0,0.0,0.0,0.01187166666666667
0.064,0.0,0.0,0.0,0.012270555555555557
0.065,0.0,0.0,0.0,0.012641111111111112
0.066,0.0,0.0,0.0,0.012981666666666669
0.067,0.0,0.0,0.0,0.01329027777777778
0.068,0.0,0.0,0.0,0.013565833333333336
0.069,0.0,0.0,0.0,0.013806388888888892
0.07,0.0,0.0,0.0,0.014011388888888891
0.071,0.0,0.0,0.0,0.014179444444444446
0.072,0.0,0.0,0.0,0.014310000000000002
0.073,0.0,0.0,0.0,0.014403055555555556
0.074,0.0,0.0,0.0,0.014458055555555557
0.075,0.0,0.0,0.0,0.01447527777777778
0.076,0.0,0.0,0.0,0.01445527777777778
0.077,0.0,0.0,0.0,0.01439888888888889
0.078,0.0,0.0,0.0,0.014307222222222225
0.079,0.0,0.0,0.0,0.014181388888888891
0.08,0.0,0.0,0.0,0.014023333333333334
0.081,0.0,0.0,0.0,0.01383527777777778
0.082,0.0,0.0,0.0,0.013619444444444446
0.083,0.0,0.0,0.0,0.013378611111111112
0.084,0.0,0.0,0.0,0.013116111111111113
0.085,0.0,0.0,0.0,0.012835000000000001
0.086,0.0,0.0,0.0,0.012539444444444447
0.087,0.0,0.0,0.0,0.012233611111111114
0.088,0.0,0.0,0.0,0.011921944444444447
0.089,0.0,0.0,0.0,0.011609444444444445
0.09,0.0,0.0,0.0,0.01130138888888889
0.091,0.0,0.0,0.0,0.011003888888888891
0.092,0.0,0.0,0.0,0.010723055555555557
0.093,0.0,0.0,0.0,0.01046527777777778
0.094,0.0,0.0,0.0,0.010237500000000002
0.095,0.0,0.0,0.0,0.010047222222222223
0.096,0.0,0.0,0.0,0.009900833333333334
0.097,0.0,0.0,0.0,0.009804166666666668
0.098,0.0,0.0,0.0,0.009760555555555557
0.099,0.0,0.0,0.0,0.009760833333333335
0.1,0.0,0.0,0.0,0.009769444444444447
0.0,0.001,0.0,0.0,-6.555555555555556e-07
0.001,0.001,1.455e-05,-1.4533333333333334e-05,-1.702777777777778e-08
0.002,0.001,3.716666666666667e-05,-1.9166666666666667e-05,-2.1500000000000004e-05
0.003,0.001,5.9000000000000004e-05,-1.6666666666666667e-05,-9.416666666666667e-05
0.004,0.001,7.2e-05,-9.450000000000001e-06,-0.00021916666666666666
0.005,0.001,7.016666666666667e-05,4.5166666666666665e-07,-0.0003881666666666667
0.006,0.001,5.05e-05,1.1733333333333335e-05,-0.0005915277777777778
0.007,0.001,1.1516666666666668e-05,2.3500000000000002e-05,-0.0008204722222222223
0.008,0.001,-4.7333333333333336e-05,3.5333333333333336e-05,-0.0010668888888888891
0.009,0.001,-0.000126,4.683333333333333e-05,-0.0013234444444444446
0.01,0.001,-0.00022361666666666666,5.783333333333334e-05,-0.00158375
0.011,0.001,-0.00033943333333333336,6.816666666666667e-05,-0.0018421944444444447
0.012,0.001,-0.00047228333333333337,7.766666666666667e-05,-0.0020940555555555556
0.013,0.001,-0.0006208833333333333,8.633333333333334e-05,-0.002335277777777778
0.014,0.001,-0.0007839166666666667,9.433333333333334e-05,-0.0025623888888888892
0.015,0.001,-0.0009600333333333334,0.00010150000000000001,-0.0027725555555555555
0.016,0.001,-0.0011478666666666667,0.00010766666666666666,-0.0029633333333333334
0.017,0.001,-0.0013460833333333335,0.00011333333333333334,-0.003132777777777778
0.018,0.001,-0.0015533666666666668,0.00011800000000000001,-0.0032794444444444446
0.019,0.001,-0.0017683333333333336,0.0001221666666666667,-0.003401666666666667
0.02,0.001,-0.00199,0.00012550000000000001,-0.0034983333333333338
0.021,0.001,-0.002217,0.00012816666666666667,-0.003569166666666667
0.022,0.001,-0.002448,0.00013016666666666667,-0.003613333333333334
0.023,0.001,-0.0026821666666666665,0.00013166666666666668,-0.0036302777777777783
0.024,0.001,-0.0029185,0.0001325,-0.0036197222222222225
0.025,0.001,-0.003155666666666667,0.00013266666666666667,-0.003581666666666667
0.026,0.001,-0.003393,0.0001325,-0.0035161111111111118
0.027,0.001,-0.0036293333333333334,0.00013166666666666668,-0.003422777777777778
0.028,0.001,-0.0038638333333333337,0.00013050000000000003,-0.003301944444444445
0.029,0.001,-0.004095666666666668,0.00012883333333333334,-0.0031538888888888892
0.03,0.001,-0.004323833333333333,0.0001265,-0.0029788888888888894
0.031,0.001,-0.004547666666666667,0.00012383333333333335,-0.002777333333333334
0.032,0.001,-0.0047665,0.00012083333333333333,-0.0025495
0.033,0.001,-0.004979166666666667,0.00011733333333333334,-0.0022959444444444446
