x,y,u,v,p
0,0,0,0,1.91E-09
0.001,0,0,0,9.71E-07
0.002,0,0,0,-7.12E-06
0.003,0,0,0,-3.80E-05
0.004,0,0,0,-9.29E-05
0.005,0,0,0,-0.00016817
0.006,0,0,0,-0.00025951
0.007,0,0,0,-0.00036303
0.008,0,0,0,-0.00047519
0.009,0,0,0,-0.00059299
0.01,0,0,0,-0.00071387
0.011,0,0,0,-0.00083569
0.012,0,0,0,-0.00095688
0.013,0,0,0,-0.0010761
0.014,0,0,0,-0.0011924
0.015,0,0,0,-0.0013049
0.016,0,0,0,-0.0014131
0.017,0,0,0,-0.0015165
0.018,0,0,0,-0.0016147
0.019,0,0,0,-0.0017074
0.02,0,0,0,-0.0017943
0.021,0,0,0,-0.0018753
0.022,0,0,0,-0.0019499
0.023,0,0,0,-0.002018
0.024,0,0,0,-0.0020791
0.025,0,0,0,-0.002133
0.026,0,0,0,-0.0021792
0.027,0,0,0,-0.0022173
0.028,0,0,0,-0.0022469
0.029,0,0,0,-0.0022674
0.03,0,0,0,-0.0022785
0.031,0,0,0,-0.0022795
0.032,0,0,0,-0.00227
0.033,0,0,0,-0.0022495
0.034,0,0,0,-0.0022176
0.035,0,0,0,-0.0021739
0.036,0,0,0,-0.002118
0.037,0,0,0,-0.0020497
0.038,0,0,0,-0.0019686
0.039,0,0,0,-0.0018748
0.04,0,0,0,-0.0017682
0.041,0,0,0,-0.001649
0.042,0,0,0,-0.0015173
0.043,0,0,0,-0.0013735
0.044,0,0,0,-0.0012182
0.045,0,0,0,-0.0010521
0.046,0,0,0,-0.0008758
0.047,0,0,0,-0.00069045
0.048,0,0,0,-0.00049714
0.049,0,0,0,-0.00029713
0.05,0,0,0,-9.18E-05
0.051,0,0,0,0.00011719
0.052,0,0,0,0.00032823
0.053,0,0,0,0.0005395
0.054,0,0,0,0.00074911
0.055,0,0,0,0.0009551
0.056,0,0,0,0.0011554
0.057,0,0,0,0.0013481
0.058,0,0,0,0.001531
0.059,0,0,0,0.0017021
0.06,0,0,0,0.0018595
0.061,0,0,0,0.0020012
0.062,0,0,0,0.0021256
0.063,0,0,0,0.0022311
0.064,0,0,0,0.002316
0.065,0,0,0,0.0023794
0.066,0,0,0,0.00242
0.067,0,0,0,0.0024372
0.068,0,0,0,0.0024305
0.069,0,0,0,0.0023996
0.07,0,0,0,0.0023447
0.071,0,0,0,0.002266
0.072,0,0,0,0.0021643
0.073,0,0,0,0.0020405
0.074,0,0,0,0.0018958
0.075,0,0,0,0.0017316
0.076,0,0,0,0.0015499
0.077,0,0,0,0.0013524
0.078,0,0,0,0.0011413
0.079,0,0,0,0.0009191
0.08,0,0,0,0.00068814
0.081,0,0,0,0.00045106
0.082,0,0,0,0.00021055
0.083,0,0,0,-3.06E-05
0.084,0,0,0,-0.00026969
0.085,0,0,0,-0.00050381
0.086,0,0,0,-0.00073021
0.087,0,0,0,-0.00094613
0.088,0,0,0,-0.0011489
0.089,0,0,0,-0.0013358
0.09,0,0,0,-0.0015044
0.091,0,0,0,-0.0016524
0.092,0,0,0,-0.0017775
0.093,0,0,0,-0.001878
0.094,0,0,0,-0.0019526
0.095,0,0,0,-0.0020007
0.096,0,0,0,-0.0020228
0.097,0,0,0,-0.0020213
0.098,0,0,0,-0.002002
0.099,0,0,0,-0.0019759
0.1,0,0,0,-0.0019629
0,0.001,0,0,-1.00E-06
0.001,0.001,2.11E-05,-2.11E-05,-4.03E-08
0.002,0.001,5.53E-05,-2.87E-05,-7.76E-06
0.003,0.001,9.00E-05,-2.62E-05,-3.73E-05
0.004,0.001,0.00011357,-1.70E-05,-8.97E-05
0.005,0.001,0.00011788,-3.93E-06,-0.00016119
0.006,0.001,9.86E-05,1.10E-05,-0.00024807
0.007,0.001,5.39E-05,2.65E-05,-0.0003467
0.008,0.001,-1.67E-05,4.18E-05,-0.0004538
0.009,0.001,-0.00011275,5.65E-05,-0.00056655
0.01,0.001,-0.00023295,7.02E-05,-0.00068253
0.011,0.001,-0.00037579,8.29E-05,-0.00079972
0.012,0.001,-0.00053953,9.44E-05,-0.00091657
0.013,0.001,-0.00072241,0.00010484,-0.0010318
0.014,0.001,-0.00092264,0.00011422,-0.0011444
0.015,0.001,-0.0011386,0.00012264,-0.0012535
0.016,0.001,-0.0013686,0.00013016,-0.0013587
0.017,0.001,-0.0016113,0.00013689,-0.0014593
0.018,0.001,-0.0018653,0.0001429,-0.001555
0.019,0.001,-0.0021295,0.00014826,-0.0016456
0.02,0.001,-0.0024027,0.00015306,-0.0017306
0.021,0.001,-0.002684,0.00015733,-0.0018098
0.022,0.001,-0.0029724,0.00016112,-0.0018829
0.023,0.001,-0.003267,0.00016446,-0.0019497
0.024,0.001,-0.0035671,0.00016736,-0.0020098
0.025,0.001,-0.0038718,0.00016981,-0.0020628
0.026,0.001,-0.0041801,0.00017182,-0.0021083
0.027,0.001,-0.0044914,0.00017335,-0.002146
0.028,0.001,-0.0048046,0.00017438,-0.0021754
0.029,0.001,-0.0051187,0.00017487,-0.002196
0.03,0.001,-0.0054328,0.00017478,-0.0022073
0.031,0.001,-0.0057456,0.00017406,-0.0022089
0.032,0.001,-0.0060561,0.00017266,-0.0022003
0.033,0.001,-0.0063629,0.00017053,-0.002181
0.034,0.001,-0.0066647,0.00016761,-0.0021506
0.035,0.001,-0.00696,0.00016386,-0.0021088
0.036,0.001,-0.0072473,0.00015923,-0.002055
0.037,0.001,-0.0075249,0.00015369,-0.0019892
0.038,0.001,-0.0077913,0.00014719,-0.0019111
0.039,0.001,-0.0080448,0.0001397,-0.0018206
0.04,0.001,-0.0082835,0.0001312,-0.0017176
0.041,0.001,-0.0085058,0.00012169,-0.0016024
0.042,0.001,-0.0087098,0.00011116,-0.0014752
0.043,0.001,-0.0088939,9.96E-05,-0.0013362
0.044,0.001,-0.0090562,8.71E-05,-0.001186
0.045,0.001,-0.0091952,7.36E-05,-0.0010253
0.046,0.001,-0.0093092,5.92E-05,-0.00085483
0.047,0.001,-0.0093968,4.39E-05,-0.00067556
0.048,0.001,-0.0094566,2.79E-05,-0.00048858
0.049,0.001,-0.0094873,1.12E-05,-0.00029513
0.05,0.001,-0.0094879,-6.13E-06,-9.66E-05
0.051,0.001,-0.0094576,-2.39E-05,0.00010556
0.052,0.001,-0.0093957,-4.21E-05,0.00030962
0.053,0.001,-0.0093017,-6.04E-05,0.00051386
0.054,0.001,-0.0091755,-7.88E-05,0.00071646
0.055,0.001,-0.0090171,-9.72E-05,0.0009155
0.056,0.001,-0.0088268,-0.00011525,0.001109
0.057,0.001,-0.0086054,-0.0001329,0.001295
0.058,0.001,-0.0083538,-0.00014996,0.0014715
0.059,0.001,-0.0080731,-0.00016624,0.0016366
0.06,0.001,-0.007765,-0.00018159,0.0017882
0.061,0.001,-0.007431,-0.00019582,0.0019247
0.062,0.001,-0.0070735,-0.00020879,0.0020443
0.063,0.001,-0.0066947,-0.00022033,0.0021454
0.064,0.001,-0.0062972,-0.00023031,0.0022267
0.065,0.001,-0.0058837,-0.00023859,0.002287
0.066,0.001,-0.0054574,-0.00024508,0.0023252
0.067,0.001,-0.0050214,-0.00024968,0.0023406
0.068,0.001,-0.004579,-0.00025232,0.0023329
0.069,0.001,-0.0041336,-0.00025296,0.0023017
0.07,0.001,-0.0036887,-0.00025157,0.0022472
0.071,0.001,-0.0032477,-0.00024815,0.0021697
0.072,0.001,-0.0028142,-0.00024273,0.0020698
0.073,0.001,-0.0023915,-0.00023536,0.0019486
0.074,0.001,-0.0019828,-0.00022612,0.0018071
0.075,0.001,-0.0015914,-0.0002151,0.0016469
0.076,0.001,-0.0012203,-0.00020242,0.0014696
0.077,0.001,-0.0008721,-0.00018823,0.0012772
0.078,0.001,-0.00054936,-0.00017267,0.0010717
0.079,0.001,-0.00025428,-0.00015593,0.00085548
0.08,0.001,1.12E-05,-0.00013819,0.00063089
0.081,0.001,0.00024563,-0.00011965,0.00040048
0.082,0.001,0.00044768,-0.00010054,0.00016687
0.083,0.001,0.00061657,-8.11E-05,-6.73E-05
0.084,0.001,0.00075184,-6.14E-05,-0.00029925
0.085,0.001,0.00085348,-4.19E-05,-0.00052634
0.086,0.001,0.00092188,-2.28E-05,-0.00074584
0.087,0.001,0.00095789,-4.30E-06,-0.00095511
0.088,0.001,0.00096285,1.33E-05,-0.0011515
0.089,0.001,0.0009386,2.97E-05,-0.0013327
0.09,0.001,0.00088756,4.44E-05,-0.0014961
0.091,0.001,0.00081278,5.72E-05,-0.0016395
0.092,0.001,0.00071803,6.76E-05,-0.0017611
0.093,0.001,0.00060791,7.48E-05,-0.0018592
0.094,0.001,0.00048798,7.83E-05,-0.0019324
0.095,0.001,0.0003649,7.73E-05,-0.0019805
0.096,0.001,0.00024657,7.06E-05,-0.002004
0.097,0.001,0.00014214,5.75E-05,-0.002005
0.098,0.001,6.19E-05,3.77E-05,-0.0019881
0.099,0.001,1.45E-05,1.46E-05,-0.001963
0.1,0.001,0,0,-0.00195
0,0.002,0,0,7.09E-06
0.001,0.002,2.90E-05,-5.53E-05,7.63E-06
0.002,0.002,7.23E-05,-7.19E-05,-2.04E-07
0.003,0.002,0.00010941,-5.97E-05,-2.79E-05
0.004,0.002,0.00012337,-2.82E-05,-7.59E-05
0.005,0.002,0.00010202,1.50E-05,-0.00014082
0.006,0.002,3.84E-05,6.43E-05,-0.00021946
0.007,0.002,-7.09E-05,0.00011593,-0.00030885
0.008,0.002,-0.0002269,0.00016749,-0.00040625
0.009,0.002,-0.00042904,0.00021728,-0.0005092
0.01,0.002,-0.00067553,0.00026434,-0.00061558
0.011,0.002,-0.0009639,0.00030812,-0.00072359
0.012,0.002,-0.0012913,0.00034837,-0.00083177
0.013,0.002,-0.0016545,0.00038505,-0.0009389
0.014,0.002,-0.0020507,0.00041826,-0.001044
0.015,0.002,-0.0024767,0.00044821,-0.0011464
0.016,0.002,-0.0029296,0.00047511,-0.0012453
0.017,0.002,-0.0034069,0.00049924,-0.0013403
0.018,0.002,-0.003906,0.00052084,-0.001431
0.019,0.002,-0.0044246,0.00054014,-0.001517
0.02,0.002,-0.0049607,0.00055734,-0.001598
0.021,0.002,-0.0055122,0.00057261,-0.0016737
0.022,0.002,-0.0060774,0.00058607,-0.0017438
0.023,0.002,-0.0066544,0.0005978,-0.001808
0.024,0.002,-0.0072415,0.00060785,-0.001866
0.025,0.002,-0.0078371,0.00061621,-0.0019173
0.026,0.002,-0.0084393,0.00062284,-0.0019616
0.027,0.002,-0.0090464,0.00062767,-0.0019986
0.028,0.002,-0.0096566,0.0006306,-0.0020278
0.029,0.002,-0.010268,0.0006315,-0.0020486
0.03,0.002,-0.010878,0.00063024,-0.0020608
0.031,0.002,-0.011485,0.00062665,-0.0020638
0.032,0.002,-0.012086,0.00062056,-0.0020572
0.033,0.002,-0.012679,0.00061181,-0.0020406
0.034,0.002,-0.013262,0.00060024,-0.0020135
0.035,0.002,-0.013831,0.00058568,-0.0019756
0.036,0.002,-0.014383,0.00056799,-0.0019266
0.037,0.002,-0.014915,0.00054702,-0.0018662
0.038,0.002,-0.015425,0.00052269,-0.0017943
0.039,0.002,-0.015909,0.00049488,-0.0017107
0.04,0.002,-0.016364,0.00046356,-0.0016155
0.041,0.002,-0.016786,0.00042869,-0.0015087
0.042,0.002,-0.017172,0.00039029,-0.0013907
0.043,0.002,-0.017519,0.00034839,-0.0012616
0.044,0.002,-0.017824,0.00030309,-0.0011221
0.045,0.002,-0.018084,0.00025453,-0.00097263
0.046,0.002,-0.018295,0.00020287,-0.00081405
0.047,0.002,-0.018455,0.00014833,-0.00064723
0.048,0.002,-0.018562,9.12E-05,-0.00047319
0.049,0.002,-0.018614,3.17E-05,-0.00029309
0.05,0.002,-0.018607,-2.96E-05,-0.00010824
0.051,0.002,-0.018542,-9.25E-05,7.99E-05
0.052,0.002,-0.018417,-0.00015656,0.00026987
0.053,0.002,-0.018231,-0.00022119,0.00045994
0.054,0.002,-0.017984,-0.00028594,0.00064842
0.055,0.002,-0.017676,-0.00035026,0.00083349
0.056,0.002,-0.017308,-0.00041358,0.0010133
0.057,0.002,-0.016882,-0.00047534,0.001186
0.058,0.002,-0.016398,-0.00053493,0.0013498
0.059,0.002,-0.01586,-0.00059178,0.0015026
0.06,0.002,-0.015271,-0.0006453,0.0016429
0.061,0.002,-0.014633,-0.00069491,0.0017688
0.062,0.002,-0.013951,-0.00074008,0.0018788
0.063,0.002,-0.013229,-0.0007803,0.0019714
0.064,0.002,-0.012472,-0.00081508,0.0020453
0.065,0.002,-0.011685,-0.00084401,0.0020994
0.066,0.002,-0.010874,-0.00086673,0.0021327
0.067,0.002,-0.010044,-0.00088292,0.0021447
0.068,0.002,-0.009202,-0.00089237,0.0021348
0.069,0.002,-0.0083541,-0.0008949,0.002103
0.07,0.002,-0.0075068,-0.00089045,0.0020492
0.071,0.002,-0.0066663,-0.00087901,0.0019739
0.072,0.002,-0.0058392,-0.00086068,0.0018776
0.073,0.002,-0.0050317,-0.00083563,0.0017614
0.074,0.002,-0.00425,-0.0008041,0.0016263
0.075,0.002,-0.0034998,-0.00076643,0.0014737
0.076,0.002,-0.0027866,-0.00072301,0.0013053
0.077,0.002,-0.0021157,-0.00067434,0.0011228
0.078,0.002,-0.0014916,-0.00062093,0.00092827
0.079,0.002,-0.00091855,-0.0005634,0.00072384
0.08,0.002,-0.00040001,-0.00050238,0.00051181
0.081,0.002,6.10E-05,-0.00043858,0.00029455
0.082,0.002,0.00046227,-0.00037272,7.45E-05
0.083,0.002,0.00080213,-0.00030558,-0.00014574
0.084,0.002,0.0010798,-0.00023797,-0.00036374
0.085,0.002,0.001295,-0.00017073,-0.00057694
0.086,0.002,0.0014487,-0.00010475,-0.00078283
0.087,0.002,0.0015424,-4.10E-05,-0.00097898
0.088,0.002,0.0015785,1.96E-05,-0.001163
0.089,0.002,0.0015605,7.59E-05,-0.0013327
0.09,0.002,0.0014929,0.00012672,-0.0014858
0.091,0.002,0.0013812,0.00017067,-0.0016205
0.092,0.002,0.0012323,0.00020623,-0.0017351
0.093,0.002,0.0010546,0.00023158,-0.0018282
0.094,0.002,0.00085768,0.00024468,-0.0018988
0.095,0.002,0.00065303,0.00024319,-0.0019466
0.096,0.002,0.00045363,0.00022469,-0.0019722
0.097,0.002,0.00027406,0.00018716,-0.0019769
0.098,0.002,0.00013055,0.0001306,-0.0019631
0.099,0.002,3.76E-05,6.19E-05,-0.0019379
0.1,0.002,0,0,-0.0019239
0,0.003,0,0,3.84E-05
0.001,0.003,2.67E-05,-9.04E-05,3.74E-05
0.002,0.003,6.02E-05,-0.00010917,2.72E-05
0.003,0.003,7.61E-05,-7.61E-05,-8.44E-07
0.004,0.003,5.57E-05,-8.20E-06,-4.68E-05
0.005,0.003,-1.50E-05,8.14E-05,-0.00010746
0.006,0.003,-0.00014396,0.00018308,-0.00018018
0.007,0.003,-0.00033552,0.00028983,-0.00026249
0.008,0.003,-0.00059112,0.00039681,-0.00035208
0.009,0.003,-0.00091012,0.00050076,-0.00044687
0.01,0.003,-0.0012904,0.0005996,-0.00054502
