x,y,u,v,p
0,0,0,0,5.66E-10
0.001,0,0,0,2.38E-06
0.002,0,0,0,-5.40E-07
0.003,0,0,0,-2.18E-05
0.004,0,0,0,-6.34E-05
0.005,0,0,0,-0.00012332
0.006,0,0,0,-0.00019854
0.007,0,0,0,-0.00028617
0.008,0,0,0,-0.00038354
0.009,0,0,0,-0.00048834
0.01,0,0,0,-0.00059866
0.011,0,0,0,-0.00071297
0.012,0,0,0,-0.00083006
0.013,0,0,0,-0.000949
0.014,0,0,0,-0.0010691
0.015,0,0,0,-0.0011898
0.016,0,0,0,-0.0013106
0.017,0,0,0,-0.0014313
0.018,0,0,0,-0.0015515
0.019,0,0,0,-0.0016708
0.02,0,0,0,-0.0017889
0.021,0,0,0,-0.0019054
0.022,0,0,0,-0.0020199
0.023,0,0,0,-0.0021318
0.024,0,0,0,-0.0022407
0.025,0,0,0,-0.0023457
0.026,0,0,0,-0.0024462
0.027,0,0,0,-0.0025415
0.028,0,0,0,-0.0026307
0.029,0,0,0,-0.0027128
0.03,0,0,0,-0.0027871
0.031,0,0,0,-0.0028525
0.032,0,0,0,-0.0029082
0.033,0,0,0,-0.0029531
0.034,0,0,0,-0.0029864
0.035,0,0,0,-0.0030072
0.036,0,0,0,-0.0030148
0.037,0,0,0,-0.0030083
0.038,0,0,0,-0.0029871
0.039,0,0,0,-0.0029507
0.04,0,0,0,-0.0028988
0.041,0,0,0,-0.0028311
0.042,0,0,0,-0.0027476
0.043,0,0,0,-0.0026484
0.044,0,0,0,-0.0025339
0.045,0,0,0,-0.0024046
0.046,0,0,0,-0.0022614
0.047,0,0,0,-0.0021052
0.048,0,0,0,-0.0019374
0.049,0,0,0,-0.0017596
0.05,0,0,0,-0.0015733
0.051,0,0,0,-0.0013805
0.052,0,0,0,-0.0011836
0.053,0,0,0,-0.00098479
0.054,0,0,0,-0.00078662
0.055,0,0,0,-0.00059172
0.056,0,0,0,-0.0004028
0.057,0,0,0,-0.00022262
0.058,0,0,0,-5.39E-05
0.059,0,0,0,0.00010053
0.06,0,0,0,0.00023819
0.061,0,0,0,0.00035657
0.062,0,0,0,0.00045344
0.063,0,0,0,0.00052676
0.064,0,0,0,0.00057482
0.065,0,0,0,0.00059624
0.066,0,0,0,0.00058999
