x,y,u,v,p
0,0,0,0,3.55E-08
0.001,0,0,0,6.72E-06
0.002,0,0,0,1.66E-05
0.003,0,0,0,1.55E-05
0.004,0,0,0,-2.06E-06
0.005,0,0,0,-3.73E-05
0.006,0,0,0,-8.96E-05
0.007,0,0,0,-0.00015801
0.008,0,0,0,-0.0002408
0.009,0,0,0,-0.00033645
0.01,0,0,0,-0.00044352
0.011,0,0,0,-0.00056076
0.012,0,0,0,-0.00068719
0.013,0,0,0,-0.00082205
0.014,0,0,0,-0.00096481
0.015,0,0,0,-0.0011152
0.016,0,0,0,-0.0012729
0.017,0,0,0,-0.0014378
0.018,0,0,0,-0.0016101
0.019,0,0,0,-0.0017895
0.02,0,0,0,-0.0019759
0.021,0,0,0,-0.0021694
0.022,0,0,0,-0.0023694
0.023,0,0,0,-0.0025757
0.024,0,0,0,-0.0027875
0.025,0,0,0,-0.0030042
0.026,0,0,0,-0.0032246
0.027,0,0,0,-0.0034477
0.028,0,0,0,-0.0036718
0.029,0,0,0,-0.0038954
0.03,0,0,0,-0.0041166
0.031,0,0,0,-0.0043333
0.032,0,0,0,-0.0045431
0.033,0,0,0,-0.0047435
0.034,0,0,0,-0.0049319
0.035,0,0,0,-0.0051056
0.036,0,0,0,-0.0052616
0.037,0,0,0,-0.005397
0.038,0,0,0,-0.0055091
0.039,0,0,0,-0.0055949
0.04,0,0,0,-0.0056519
0.041,0,0,0,-0.0056778
0.042,0,0,0,-0.0056704
0.043,0,0,0,-0.005628
0.044,0,0,0,-0.0055496
0.045,0,0,0,-0.0054344
0.046,0,0,0,-0.0052825
0.047,0,0,0,-0.0050946
0.048,0,0,0,-0.0048722
0.049,0,0,0,-0.0046176
0.05,0,0,0,-0.0043339
0.051,0,0,0,-0.0040245
0.052,0,0,0,-0.0036939
0.053,0,0,0,-0.003348
0.054,0,0,0,-0.0029926
0.055,0,0,0,-0.0026341
0.056,0,0,0,-0.0022794
0.057,0,0,0,-0.0019357
0.058,0,0,0,-0.0016104
0.059,0,0,0,-0.0013105
0.06,0,0,0,-0.0010431
0.061,0,0,0,-0.00081449
0.062,0,0,0,-0.00063056
0.063,0,0,0,-0.00049619
0.064,0,0,0,-0.00041532
0.065,0,0,0,-0.0003907
0.066,0,0,0,-0.00042389
0.067,0,0,0,-0.00051509
0.068,0,0,0,-0.00066324
0.069,0,0,0,-0.00086595
0.07,0,0,0,-0.0011197
0.071,0,0,0,-0.0014197
0.072,0,0,0,-0.0017605
0.073,0,0,0,-0.0021357
0.074,0,0,0,-0.0025386
0.075,0,0,0,-0.0029618
0.076,0,0,0,-0.0033982
0.077,0,0,0,-0.0038407
0.078,0,0,0,-0.0042825
0.079,0,0,0,-0.0047175
0.08,0,0,0,-0.00514
0.081,0,0,0,-0.0055451
0.082,0,0,0,-0.0059287
0.083,0,0,0,-0.0062875
0.084,0,0,0,-0.0066189
0.085,0,0,0,-0.0069214
0.086,0,0,0,-0.0071939
0.087,0,0,0,-0.0074357
0.088,0,0,0,-0.0076469
0.089,0,0,0,-0.0078277
0.09,0,0,0,-0.0079787
0.091,0,0,0,-0.0081005
0.092,0,0,0,-0.0081939
0.093,0,0,0,-0.0082596
0.094,0,0,0,-0.0082988
0.095,0,0,0,-0.0083128
0.096,0,0,0,-0.0083043
0.097,0,0,0,-0.0082775
0.098,0,0,0,-0.00824
0.099,0,0,0,-0.0082044
0.1,0,0,0,-0.008189
0,0.001,0,0,-6.66E-06
0.001,0.001,4.92E-05,-4.90E-05,1.95E-08
0.002,0.001,0.00016935,-9.66E-05,9.54E-06
0.003,0.001,0.00034524,-0.00012666,7.61E-06
0.004,0.001,0.00054852,-0.00013792,-1.04E-05
0.005,0.001,0.00075365,-0.00013462,-4.52E-05
0.006,0.001,0.00094207,-0.00012106,-9.65E-05
0.007,0.001,0.0011007,-0.0001007,-0.00016304
0.008,0.001,0.0012208,-7.62E-05,-0.00024355
0.009,0.001,0.0012969,-4.93E-05,-0.00033659
0.01,0.001,0.0013258,-2.15E-05,-0.00044081
0.011,0.001,0.0013063,6.37E-06,-0.00055506
0.012,0.001,0.001238,3.40E-05,-0.00067841
0.013,0.001,0.0011212,6.10E-05,-0.00081014
0.014,0.001,0.0009564,8.75E-05,-0.00094975
0.015,0.001,0.00074413,0.00011353,-0.0010969
0.016,0.001,0.0004847,0.00013929,-0.0012514
0.017,0.001,0.00017812,0.00016507,-0.0014132
0.018,0.001,-0.00017603,0.00019114,-0.0015822
0.019,0.001,-0.00057852,0.00021778,-0.0017583
0.02,0.001,-0.0010305,0.0002452,-0.0019414
0.021,0.001,-0.0015331,0.00027355,-0.0021314
0.022,0.001,-0.0020878,0.0003029,-0.002328
0.023,0.001,-0.0026959,0.00033325,-0.0025308
0.024,0.001,-0.0033586,0.00036454,-0.0027392
0.025,0.001,-0.0040769,0.0003966,-0.0029523
0.026,0.001,-0.0048515,0.00042922,-0.0031693
0.027,0.001,-0.0056823,0.00046212,-0.003389
0.028,0.001,-0.0065688,0.00049493,-0.0036099
0.029,0.001,-0.0075097,0.00052723,-0.0038305
0.03,0.001,-0.0085029,0.00055855,-0.0040489
0.031,0.001,-0.0095454,0.00058835,-0.004263
0.032,0.001,-0.010633,0.00061608,-0.0044707
0.033,0.001,-0.011761,0.00064112,-0.0046694
0.034,0.001,-0.012924,0.00066283,-0.0048566
0.035,0.001,-0.014114,0.00068057,-0.0050295
0.036,0.001,-0.015322,0.00069368,-0.0051855
0.037,0.001,-0.016541,0.00070149,-0.0053215
0.038,0.001,-0.017759,0.00070337,-0.0054348
0.039,0.001,-0.018965,0.00069873,-0.0055226
0.04,0.001,-0.020148,0.00068699,-0.0055824
0.041,0.001,-0.021295,0.00066769,-0.0056118
0.042,0.001,-0.022392,0.0006404,-0.0056088
0.043,0.001,-0.023426,0.00060483,-0.0055716
0.044,0.001,-0.024384,0.00056079,-0.0054991
0.045,0.001,-0.025251,0.0005082,-0.0053906
0.046,0.001,-0.026013,0.00044715,-0.0052461
0.047,0.001,-0.026658,0.00037786,-0.0050662
0.048,0.001,-0.027174,0.00030062,-0.0048523
0.049,0.001,-0.027548,0.00021579,-0.0046068
0.05,0.001,-0.02777,0.00012527,-0.0043327
0.051,0.001,-0.027833,2.93E-05,-0.0040329
0.052,0.001,-0.027729,-7.20E-05,-0.0037124
0.053,0.001,-0.027452,-0.00017636,-0.0033765
0.054,0.001,-0.027,-0.00028259,-0.0030311
0.055,0.001,-0.026372,-0.00038916,-0.0026824
0.056,0.001,-0.02557,-0.00049445,-0.0023372
0.057,0.001,-0.024599,-0.00059675,-0.0020026
0.058,0.001,-0.023466,-0.00069433,-0.0016858
0.059,0.001,-0.02218,-0.00078542,-0.0013937
0.06,0.001,-0.020754,-0.00086833,-0.0011333
0.061,0.001,-0.019202,-0.00094143,-0.00091092
0.062,0.001,-0.017543,-0.0010032,-0.00073215
0.063,0.001,-0.015794,-0.0010525,-0.0006019
0.064,0.001,-0.013978,-0.0010881,-0.000524
0.065,0.001,-0.012116,-0.0011092,-0.00050119
0.066,0.001,-0.010231,-0.0011155,-0.00053497
0.067,0.001,-0.0083475,-0.0011067,-0.00062557
0.068,0.001,-0.006489,-0.001083,-0.0007719
0.069,0.001,-0.0046787,-0.0010451,-0.00097164
0.07,0.001,-0.0029386,-0.00099381,-0.0012212
0.071,0.001,-0.0012892,-0.00093039,-0.0015162
0.072,0.001,0.000251,-0.00085636,-0.0018509
0.073,0.001,0.0016658,-0.00077345,-0.0022192
0.074,0.001,0.002942,-0.00068356,-0.0026143
0.075,0.001,0.0040691,-0.00058873,-0.0030294
0.076,0.001,0.0050401,-0.00049108,-0.0034572
0.077,0.001,0.005851,-0.00039272,-0.0038909
0.078,0.001,0.0065007,-0.00029541,-0.0043238
0.079,0.001,0.0069911,-0.00020085,-0.0047498
0.08,0.001,0.0073271,-0.00011082,-0.0051634
0.081,0.001,0.007516,-2.67E-05,-0.00556
0.082,0.001,0.0075671,5.07E-05,-0.0059356
0.083,0.001,0.0074913,0.00012039,-0.006287
0.084,0.001,0.0073007,0.00018214,-0.0066116
0.085,0.001,0.0070078,0.00023586,-0.0069079
0.086,0.001,0.0066261,0.00028136,-0.0071749
0.087,0.001,0.0061687,0.00031883,-0.007412
0.088,0.001,0.005649,0.00034856,-0.0076193
0.089,0.001,0.0050799,0.00037079,-0.007797
0.09,0.001,0.0044744,0.00038566,-0.0079458
0.091,0.001,0.0038455,0.00039302,-0.0080663
0.092,0.001,0.0032068,0.00039228,-0.0081593
0.093,0.001,0.0025733,0.00038231,-0.0082257
