x,y,u,v,p
0,0,0,0,1.42E-08
0.001,0,0,0,7.85E-06
0.002,0,0,0,2.09E-05
0.003,0,0,0,2.43E-05
0.004,0,0,0,1.19E-05
0.005,0,0,0,-1.85E-05
0.006,0,0,0,-6.68E-05
0.007,0,0,0,-0.00013209
0.008,0,0,0,-0.00021282
0.009,0,0,0,-0.00030727
0.01,0,0,0,-0.00041384
0.011,0,0,0,-0.00053113
0.012,0,0,0,-0.00065803
0.013,0,0,0,-0.00079376
0.014,0,0,0,-0.00093786
0.015,0,0,0,-0.0010902
0.016,0,0,0,-0.0012507
0.017,0,0,0,-0.0014198
0.018,0,0,0,-0.0015976
0.019,0,0,0,-0.0017845
0.02,0,0,0,-0.0019808
0.021,0,0,0,-0.0021868
0.022,0,0,0,-0.0024024
0.023,0,0,0,-0.0026276
0.024,0,0,0,-0.0028619
0.025,0,0,0,-0.0031048
0.026,0,0,0,-0.0033554
0.027,0,0,0,-0.0036125
0.028,0,0,0,-0.0038746
0.029,0,0,0,-0.00414
0.03,0,0,0,-0.0044065
0.031,0,0,0,-0.0046718
0.032,0,0,0,-0.004933
0.033,0,0,0,-0.0051871
0.034,0,0,0,-0.0054307
0.035,0,0,0,-0.0056602
0.036,0,0,0,-0.0058719
0.037,0,0,0,-0.0060618
0.038,0,0,0,-0.0062259
0.039,0,0,0,-0.0063602
0.04,0,0,0,-0.0064608
0.041,0,0,0,-0.0065241
0.042,0,0,0,-0.0065467
0.043,0,0,0,-0.0065258
0.044,0,0,0,-0.0064592
0.045,0,0,0,-0.0063451
0.046,0,0,0,-0.0061828
0.047,0,0,0,-0.0059725
0.048,0,0,0,-0.0057153
0.049,0,0,0,-0.0054136
0.05,0,0,0,-0.0050711
0.051,0,0,0,-0.0046915
0.052,0,0,0,-0.0042798
0.053,0,0,0,-0.0038438
0.054,0,0,0,-0.0033912
0.055,0,0,0,-0.0029302
0.056,0,0,0,-0.00247
0.057,0,0,0,-0.0020202
0.058,0,0,0,-0.0015908
0.059,0,0,0,-0.0011916
0.06,0,0,0,-0.00083211
0.061,0,0,0,-0.00052136
0.062,0,0,0,-0.00026733
0.063,0,0,0,-7.69E-05
0.064,0,0,0,4.47E-05
0.065,0,0,0,9.35E-05
0.066,0,0,0,6.78E-05
0.067,0,0,0,-3.26E-05
0.068,0,0,0,-0.0002057
0.069,0,0,0,-0.00044788
