x,y,u,v,p
0,0,0,0,-4.73E-11
0.001,0,0,0,2.19E-07
0.002,0,0,0,-1.79E-05
0.003,0,0,0,-7.80E-05
0.004,0,0,0,-0.00018121
0.005,0,0,0,-0.00032028
0.006,0,0,0,-0.00048719
0.007,0,0,0,-0.00067443
0.008,0,0,0,-0.0008752
0.009,0,0,0,-0.0010835
0.01,0,0,0,-0.0012941
0.011,0,0,0,-0.0015027
0.012,0,0,0,-0.0017056
0.013,0,0,0,-0.0018996
0.014,0,0,0,-0.0020821
0.015,0,0,0,-0.0022512
0.016,0,0,0,-0.0024051
0.017,0,0,0,-0.0025423
0.018,0,0,0,-0.0026618
0.019,0,0,0,-0.0027626
0.02,0,0,0,-0.0028442
0.021,0,0,0,-0.002906
0.022,0,0,0,-0.0029476
0.023,0,0,0,-0.0029687
0.024,0,0,0,-0.0029692
0.025,0,0,0,-0.0029489
0.026,0,0,0,-0.0029079
0.027,0,0,0,-0.002846
0.028,0,0,0,-0.0027635
0.029,0,0,0,-0.0026603
0.03,0,0,0,-0.0025367
0.031,0,0,0,-0.0023927
0.032,0,0,0,-0.0022286
0.033,0,0,0,-0.0020446
0.034,0,0,0,-0.0018411
0.035,0,0,0,-0.0016183
0.036,0,0,0,-0.0013767
0.037,0,0,0,-0.0011166
0.038,0,0,0,-0.00083867
0.039,0,0,0,-0.0005434
0.04,0,0,0,-0.00023147
0.041,0,0,0,9.64E-05
0.042,0,0,0,0.00043936
0.043,0,0,0,0.00079653
0.044,0,0,0,0.0011669
0.045,0,0,0,0.0015494
0.046,0,0,0,0.0019427
0.047,0,0,0,0.0023457
0.048,0,0,0,0.0027569
0.049,0,0,0,0.0031748
0.05,0,0,0,0.0035978
0.051,0,0,0,0.0040242
0.052,0,0,0,0.0044524
0.053,0,0,0,0.0048803
0.054,0,0,0,0.0053063
0.055,0,0,0,0.0057282
0.056,0,0,0,0.006144
0.057,0,0,0,0.0065518
0.058,0,0,0,0.0069495
0.059,0,0,0,0.007335
0.06,0,0,0,0.0077063
0.061,0,0,0,0.0080614
0.062,0,0,0,0.0083983
0.063,0,0,0,0.0087151
0.064,0,0,0,0.0090102
0.065,0,0,0,0.0092817
0.066,0,0,0,0.0095281
0.067,0,0,0,0.0097482
0.068,0,0,0,0.0099405
0.069,0,0,0,0.010104
0.07,0,0,0,0.010238
0.071,0,0,0,0.010342
0.072,0,0,0,0.010415
0.073,0,0,0,0.010458
0.074,0,0,0,0.01047
0.075,0,0,0,0.010452
0.076,0,0,0,0.010404
0.077,0,0,0,0.010327
0.078,0,0,0,0.010223
0.079,0,0,0,0.010092
0.08,0,0,0,0.0099377
0.081,0,0,0,0.0097605
0.082,0,0,0,0.0095632
0.083,0,0,0,0.0093483
0.084,0,0,0,0.0091185
0.085,0,0,0,0.0088769
0.086,0,0,0,0.0086268
0.087,0,0,0,0.0083717
0.088,0,0,0,0.0081155
0.089,0,0,0,0.0078621
0.09,0,0,0,0.0076159
0.091,0,0,0,0.0073814
0.092,0,0,0,0.0071633
0.093,0,0,0,0.0069665
0.094,0,0,0,0.0067962
0.095,0,0,0,0.006657
0.096,0,0,0,0.0065536
0.097,0,0,0,0.0064892
0.098,0,0,0,0.0064645
0.099,0,0,0,0.0064708
0.1,0,0,0,0.0064796
0,0.001,0,0,-2.43E-07
0.001,0.001,1.51E-05,-1.51E-05,-2.16E-08
0.002,0.001,3.84E-05,-1.98E-05,-1.73E-05
0.003,0.001,6.05E-05,-1.70E-05,-7.45E-05
0.004,0.001,7.32E-05,-9.33E-06,-0.00017238
0.005,0.001,7.04E-05,1.02E-06,-0.00030405
0.006,0.001,4.91E-05,1.27E-05,-0.0004621
0.007,0.001,7.79E-06,2.50E-05,-0.00063964
0.008,0.001,-5.40E-05,3.71E-05,-0.00083034
0.009,0.001,-0.00013603,4.89E-05,-0.0010286
0.01,0.001,-0.00023751,6.00E-05,-0.0012294
0.011,0.001,-0.00035741,7.04E-05,-0.0014286
0.012,0.001,-0.0004945,8.00E-05,-0.0016226
0.013,0.001,-0.00064743,8.88E-05,-0.0018085
0.014,0.001,-0.0008148,9.67E-05,-0.0019836
0.015,0.001,-0.00099521,0.00010372,-0.0021459
0.016,0.001,-0.0011872,0.00010995,-0.0022937
0.017,0.001,-0.0013895,0.00011539,-0.0024255
0.018,0.001,-0.0016007,0.00012007,-0.0025404
0.019,0.001,-0.0018195,0.00012402,-0.0026373
0.02,0.001,-0.0020447,0.00012729,-0.0027156
0.021,0.001,-0.0022752,0.00012991,-0.0027747
0.022,0.001,-0.0025097,0.00013191,-0.0028142
0.023,0.001,-0.0027473,0.00013332,-0.0028339
0.024,0.001,-0.0029869,0.00013418,-0.0028335
0.025,0.001,-0.0032275,0.0001345,-0.0028129
0.026,0.001,-0.0034682,0.00013431,-0.0027721
0.027,0.001,-0.0037081,0.00013362,-0.002711
0.028,0.001,-0.0039463,0.00013246,-0.0026296
0.029,0.001,-0.0041819,0.00013084,-0.0025282
0.03,0.001,-0.0044142,0.00012877,-0.0024067
0.031,0.001,-0.0046423,0.00012625,-0.0022654
0.032,0.001,-0.0048654,0.0001233,-0.0021044
0.033,0.001,-0.0050828,0.00011992,-0.0019239
0.034,0.001,-0.0052937,0.00011612,-0.0017244
0.035,0.001,-0.0054973,0.00011189,-0.001506
0.036,0.001,-0.0056928,0.00010724,-0.0012692
0.037,0.001,-0.0058796,0.00010218,-0.0010144
0.038,0.001,-0.0060568,9.67E-05,-0.00074215
0.039,0.001,-0.0062238,9.08E-05,-0.00045297
0.04,0.001,-0.0063798,8.46E-05,-0.00014752
0.041,0.001,-0.0065242,7.79E-05,0.00017348
0.042,0.001,-0.0066561,7.08E-05,0.00050922
0.043,0.001,-0.0067751,6.34E-05,0.0008588
0.044,0.001,-0.0068805,5.56E-05,0.0012212
0.045,0.001,-0.0069715,4.75E-05,0.0015955
0.046,0.001,-0.0070478,3.91E-05,0.0019803
0.047,0.001,-0.0071086,3.03E-05,0.0023745
0.048,0.001,-0.0071537,2.13E-05,0.0027766
0.049,0.001,-0.0071824,1.21E-05,0.0031852
0.05,0.001,-0.0071945,2.64E-06,0.0035988
0.051,0.001,-0.0071896,-6.98E-06,0.0040156
0.052,0.001,-0.0071674,-1.67E-05,0.0044341
0.053,0.001,-0.0071279,-2.65E-05,0.0048524
0.054,0.001,-0.007071,-3.64E-05,0.0052686
0.055,0.001,-0.0069966,-4.62E-05,0.0056808
0.056,0.001,-0.0069048,-5.60E-05,0.006087
0.057,0.001,-0.0067958,-6.56E-05,0.0064854
0.058,0.001,-0.0066699,-7.51E-05,0.0068738
0.059,0.001,-0.0065275,-8.43E-05,0.0072503
0.06,0.001,-0.0063691,-9.32E-05,0.0076129
0.061,0.001,-0.0061952,-0.00010178,0.0079597
0.062,0.001,-0.0060067,-0.0001099,0.0082887
0.063,0.001,-0.0058042,-0.00011754,0.0085982
0.064,0.001,-0.0055888,-0.00012464,0.0088864
0.065,0.001,-0.0053613,-0.00013113,0.0091516
0.066,0.001,-0.005123,-0.00013697,0.0093924
0.067,0.001,-0.0048751,-0.0001421,0.0096075
0.068,0.001,-0.0046187,-0.00014647,0.0097956
0.069,0.001,-0.0043553,-0.00015004,0.0099557
0.07,0.001,-0.0040864,-0.00015277,0.010087
0.071,0.001,-0.0038134,-0.00015463,0.010189
0.072,0.001,-0.0035379,-0.00015558,0.010262
0.073,0.001,-0.0032614,-0.0001556,0.010304
0.074,0.001,-0.0029857,-0.00015468,0.010317
0.075,0.001,-0.0027124,-0.00015282,0.0103
0.076,0.001,-0.0024431,-0.00015,0.010255
0.077,0.001,-0.0021794,-0.00014624,0.010182
0.078,0.001,-0.0019231,-0.00014155,0.010082
0.079,0.001,-0.0016757,-0.00013595,0.0099567
0.08,0.001,-0.0014387,-0.00012948,0.009808
0.081,0.001,-0.0012137,-0.00012216,0.0096376
0.082,0.001,-0.0010021,-0.00011404,0.0094479
0.083,0.001,-0.00080512,-0.00010519,0.0092411
0.084,0.001,-0.00062407,-9.57E-05,0.0090201
0.085,0.001,-0.00046003,-8.55E-05,0.0087878
0.086,0.001,-0.00031393,-7.49E-05,0.0085475
0.087,0.001,-0.00018659,-6.38E-05,0.0083025
0.088,0.001,-7.86E-05,-5.24E-05,0.0080565
0.089,0.001,9.68E-06,-4.08E-05,0.0078135
0.09,0.001,7.81E-05,-2.92E-05,0.0075776
0.091,0.001,0.00012677,-1.78E-05,0.007353
0.092,0.001,0.00015631,-6.73E-06,0.0071443
0.093,0.001,0.00016772,3.58E-06,0.0069561
0.094,0.001,0.00016259,1.27E-05,0.0067932
0.095,0.001,0.00014327,2.02E-05,0.00666
0.096,0.001,0.00011311,2.51E-05,0.0065605
0.097,0.001,7.68E-05,2.64E-05,0.0064979
0.098,0.001,4.10E-05,2.28E-05,0.0064735
0.099,0.001,1.35E-05,1.35E-05,0.0064796
0.1,0.001,0,0,0.0064884
0,0.002,0,0,1.79E-05
0.001,0.002,1.99E-05,-3.84E-05,1.73E-05
0.002,0.002,4.78E-05,-4.77E-05,-8.37E-08
0.003,0.002,6.88E-05,-3.58E-05,-5.31E-05
0.004,0.002,7.06E-05,-1.00E-05,-0.00014192
0.005,0.002,4.44E-05,2.42E-05,-0.00026022
0.006,0.002,-1.50E-05,6.29E-05,-0.00040183
0.007,0.002,-0.00011033,0.00010365,-0.00056102
0.008,0.002,-0.00024253,0.00014454,-0.00073243
0.009,0.002,-0.0004114,0.00018442,-0.00091114
0.01,0.002,-0.00061586,0.00022251,-0.0010928
