x,y,u,v,p
0,0,0,0,6.44E-09
0.001,0,0,0,9.36E-06
0.002,0,0,0,2.59E-05
0.003,0,0,0,3.31E-05
0.004,0,0,0,2.38E-05
0.005,0,0,0,-5.11E-06
0.006,0,0,0,-5.39E-05
0.007,0,0,0,-0.00012134
0.008,0,0,0,-0.00020545
0.009,0,0,0,-0.00030391
0.01,0,0,0,-0.0004145
0.011,0,0,0,-0.00053542
0.012,0,0,0,-0.00066535
0.013,0,0,0,-0.00080357
0.014,0,0,0,-0.00094989
0.015,0,0,0,-0.0011046
0.016,0,0,0,-0.0012685
0.017,0,0,0,-0.0014424
0.018,0,0,0,-0.0016274
0.019,0,0,0,-0.0018245
0.02,0,0,0,-0.0020347
0.021,0,0,0,-0.0022588
0.022,0,0,0,-0.0024974
0.023,0,0,0,-0.0027509
0.024,0,0,0,-0.0030193
0.025,0,0,0,-0.0033025
0.026,0,0,0,-0.0035998
0.027,0,0,0,-0.0039104
0.028,0,0,0,-0.0042327
0.029,0,0,0,-0.004565
0.03,0,0,0,-0.0049052
0.031,0,0,0,-0.0052504
0.032,0,0,0,-0.0055973
0.033,0,0,0,-0.005942
0.034,0,0,0,-0.0062804
0.035,0,0,0,-0.0066075
0.036,0,0,0,-0.0069181
0.037,0,0,0,-0.0072065
0.038,0,0,0,-0.0074668
0.039,0,0,0,-0.007693
0.04,0,0,0,-0.0078787
0.041,0,0,0,-0.008018
0.042,0,0,0,-0.0081051
0.043,0,0,0,-0.0081346
0.044,0,0,0,-0.0081018
0.045,0,0,0,-0.0080027
0.046,0,0,0,-0.0078344
0.047,0,0,0,-0.0075953
0.048,0,0,0,-0.0072848
0.049,0,0,0,-0.0069042
0.05,0,0,0,-0.0064567
0.051,0,0,0,-0.0059475
0.052,0,0,0,-0.0053811
0.053,0,0,0,-0.004764
0.054,0,0,0,-0.0041082
0.055,0,0,0,-0.0034259
0.056,0,0,0,-0.0027288
0.057,0,0,0,-0.0020306
0.058,0,0,0,-0.001346
0.059,0,0,0,-0.00069044
0.06,0,0,0,-7.92E-05
0.061,0,0,0,0.00047309
0.062,0,0,0,0.00095246
0.063,0,0,0,0.0013466
0.064,0,0,0,0.001645
0.065,0,0,0,0.0018399
0.066,0,0,0,0.0019261
0.067,0,0,0,0.0019018
0.068,0,0,0,0.0017681
0.069,0,0,0,0.0015297
0.07,0,0,0,0.0011942
0.071,0,0,0,0.00077197
0.072,0,0,0,0.00027584
0.073,0,0,0,-0.00027958
0.074,0,0,0,-0.00087838
0.075,0,0,0,-0.0015046
0.076,0,0,0,-0.0021427
0.077,0,0,0,-0.0027781
0.078,0,0,0,-0.0033974
0.079,0,0,0,-0.0039898
0.08,0,0,0,-0.0045458
0.081,0,0,0,-0.0050583
0.082,0,0,0,-0.0055229
0.083,0,0,0,-0.0059374
0.084,0,0,0,-0.0063014
0.085,0,0,0,-0.0066159
0.086,0,0,0,-0.0068834
0.087,0,0,0,-0.0071069
0.088,0,0,0,-0.0072904
0.089,0,0,0,-0.0074379
0.09,0,0,0,-0.0075535
0.091,0,0,0,-0.0076409
0.092,0,0,0,-0.0077035
0.093,0,0,0,-0.007744
0.094,0,0,0,-0.0077646
0.095,0,0,0,-0.0077674
0.096,0,0,0,-0.0077544
0.097,0,0,0,-0.007729
0.098,0,0,0,-0.0076965
0.099,0,0,0,-0.0076666
0.1,0,0,0,-0.0076537
0,0.001,0,0,-9.24E-06
0.001,0.001,8.63E-05,-8.67E-05,1.22E-07
0.002,0.001,0.00033489,-0.00019697,1.61E-05
0.003,0.001,0.00072872,-0.00028022,2.19E-05
0.004,0.001,0.0012125,-0.00032455,1.14E-05
0.005,0.001,0.0017305,-0.00033443,-1.78E-05
0.006,0.001,0.002237,-0.00031764,-6.60E-05
0.007,0.001,0.0026977,-0.0002821,-0.00013203
0.008,0.001,0.0030886,-0.00023498,-0.00021409
0.009,0.001,0.0033956,-0.00018221,-0.00031004
0.01,0.001,0.0036121,-0.00012834,-0.00041789
0.011,0.001,0.0037376,-7.66E-05,-0.00053592
0.012,0.001,0.0037756,-2.87E-05,-0.00066294
0.013,0.001,0.0037315,1.46E-05,-0.00079827
0.014,0.001,0.0036109,5.37E-05,-0.00094173
0.015,0.001,0.0034182,8.98E-05,-0.0010936
0.016,0.001,0.0031565,0.00012432,-0.0012546
0.017,0.001,0.0028262,0.00015887,-0.0014256
0.018,0.001,0.0024255,0.0001948,-0.0016075
0.019,0.001,0.0019506,0.00023345,-0.0018014
0.02,0.001,0.001396,0.00027571,-0.0020082
0.021,0.001,0.00075501,0.00032242,-0.0022288
0.022,0.001,1.97E-05,0.0003742,-0.0024637
0.023,0.001,-0.00081817,0.00043126,-0.0027133
0.024,0.001,-0.0017668,0.00049357,-0.0029775
0.025,0.001,-0.0028342,0.00056094,-0.0032562
0.026,0.001,-0.0040265,0.0006329,-0.003549
0.027,0.001,-0.0053492,0.00070891,-0.003855
0.028,0.001,-0.0068061,0.00078831,-0.0041728
0.029,0.001,-0.0083995,0.0008702,-0.0045007
0.03,0.001,-0.01013,0.00095353,-0.0048366
0.031,0.001,-0.011996,0.0010372,-0.0051777
0.032,0.001,-0.013993,0.0011199,-0.0055208
0.033,0.001,-0.016116,0.0012002,-0.0058624
0.034,0.001,-0.018354,0.0012765,-0.006198
0.035,0.001,-0.020695,0.0013471,-0.006523
0.036,0.001,-0.023125,0.0014102,-0.0068322
0.037,0.001,-0.025626,0.001464,-0.0071201
0.038,0.001,-0.028176,0.0015066,-0.0073808
0.039,0.001,-0.030754,0.0015361,-0.0076083
0.04,0.001,-0.033332,0.0015509,-0.0077964
0.041,0.001,-0.035883,0.0015491,-0.0079391
0.042,0.001,-0.038378,0.0015295,-0.0080306
0.043,0.001,-0.040785,0.0014906,-0.0080655
0.044,0.001,-0.043073,0.0014313,-0.0080392
0.045,0.001,-0.045208,0.001351,-0.0079475
0.046,0.001,-0.047159,0.001249,-0.0077877
0.047,0.001,-0.048892,0.0011252,-0.0075577
0.048,0.001,-0.050378,0.00097972,-0.0072572
0.049,0.001,-0.051585,0.0008129,-0.0068873
0.05,0.001,-0.052488,0.00062495,-0.006451
0.051,0.001,-0.05306,0.00042175,-0.0059531
0.052,0.001,-0.053281,0.00020232,-0.0053978
0.053,0.001,-0.053136,-3.17E-05,-0.0047928
0.054,0.001,-0.052607,-0.0002746,-0.0041492
0.055,0.001,-0.051684,-0.00052668,-0.0034784
0.056,0.001,-0.050368,-0.00078303,-0.0027923
0.057,0.001,-0.048661,-0.0010389,-0.0021046
0.058,0.001,-0.04657,-0.0012894,-0.0014299
0.059,0.001,-0.044113,-0.0015293,-0.00078341
0.06,0.001,-0.04131,-0.0017535,-0.00018031
0.061,0.001,-0.038192,-0.001957,0.00036481
0.062,0.001,-0.034795,-0.0021347,0.00083819
0.063,0.001,-0.031161,-0.0022818,0.0012275
0.064,0.001,-0.027338,-0.0023937,0.0015226
0.065,0.001,-0.02338,-0.0024669,0.0017154
0.066,0.001,-0.019346,-0.0024987,0.0018009
0.067,0.001,-0.015297,-0.0024874,0.0017773
0.068,0.001,-0.011294,-0.0024327,0.0016457
0.069,0.001,-0.0074006,-0.0023356,0.0014109
0.07,0.001,-0.0036768,-0.0021986,0.0010803
0.071,0.001,-0.00017944,-0.0020257,0.00066438
0.072,0.001,0.0030406,-0.0018219,0.00017584
0.073,0.001,0.0059389,-0.0015928,-0.00037095
0.074,0.001,0.0084807,-0.0013453,-0.00096049
0.075,0.001,0.010642,-0.0010877,-0.0015769
0.076,0.001,0.012408,-0.00082879,-0.0022047
0.077,0.001,0.013776,-0.00057524,-0.0028292
0.078,0.001,0.014751,-0.00033198,-0.0034373
0.079,0.001,0.015347,-0.0001062,-0.0040183
0.08,0.001,0.015593,9.55E-05,-0.0045635
0.081,0.001,0.015523,0.00027007,-0.0050662
0.082,0.001,0.015175,0.00041635,-0.0055218
0.083,0.001,0.014591,0.0005342,-0.0059283
0.084,0.001,0.013813,0.00062435,-0.0062854
0.085,0.001,0.012883,0.00068834,-0.0065943
0.086,0.001,0.011842,0.00072857,-0.0068572
0.087,0.001,0.010725,0.00074797,-0.0070774
0.088,0.001,0.0095672,0.00075015,-0.0072585
0.089,0.001,0.0083946,0.00073879,-0.0074046
0.09,0.001,0.0072302,0.00071712,-0.0075197
0.091,0.001,0.0060923,0.00068758,-0.0076074
0.092,0.001,0.004996,0.0006515,-0.0076709
0.093,0.001,0.0039553,0.00060871,-0.007713
0.094,0.001,0.002985,0.00055718,-0.007736
