x,y,u,v,p
0,0,0,0,1.35E-08
0.001,0,0,0,9.60E-06
0.002,0,0,0,2.66E-05
0.003,0,0,0,3.42E-05
0.004,0,0,0,2.49E-05
0.005,0,0,0,-4.35E-06
0.006,0,0,0,-5.39E-05
0.007,0,0,0,-0.00012244
0.008,0,0,0,-0.00020779
0.009,0,0,0,-0.00030747
0.01,0,0,0,-0.00041914
0.011,0,0,0,-0.00054089
0.012,0,0,0,-0.00067139
0.013,0,0,0,-0.00080994
0.014,0,0,0,-0.00095647
0.015,0,0,0,-0.0011114
0.016,0,0,0,-0.0012757
0.017,0,0,0,-0.0014503
0.018,0,0,0,-0.0016365
0.019,0,0,0,-0.0018354
0.02,0,0,0,-0.0020481
0.021,0,0,0,-0.0022756
0.022,0,0,0,-0.0025185
0.023,0,0,0,-0.0027774
0.024,0,0,0,-0.0030524
0.025,0,0,0,-0.0033433
0.026,0,0,0,-0.0036497
0.027,0,0,0,-0.0039707
0.028,0,0,0,-0.004305
0.029,0,0,0,-0.0046507
0.03,0,0,0,-0.0050057
0.031,0,0,0,-0.0053672
0.032,0,0,0,-0.0057318
0.033,0,0,0,-0.0060957
0.034,0,0,0,-0.0064542
0.035,0,0,0,-0.0068025
0.036,0,0,0,-0.0071349
0.037,0,0,0,-0.0074455
0.038,0,0,0,-0.0077281
0.039,0,0,0,-0.0079761
0.04,0,0,0,-0.0081829
0.041,0,0,0,-0.008342
0.042,0,0,0,-0.0084469
0.043,0,0,0,-0.0084919
0.044,0,0,0,-0.0084716
0.045,0,0,0,-0.0083815
0.046,0,0,0,-0.0082182
0.047,0,0,0,-0.0079793
0.048,0,0,0,-0.007664
0.049,0,0,0,-0.007273
0.05,0,0,0,-0.0068089
0.051,0,0,0,-0.0062768
0.052,0,0,0,-0.0056814
0.053,0,0,0,-0.005029
0.054,0,0,0,-0.0043309
0.055,0,0,0,-0.0036
0.056,0,0,0,-0.002849
0.057,0,0,0,-0.0020919
0.058,0,0,0,-0.0013443
0.059,0,0,0,-0.00062248
0.06,0,0,0,5.69E-05
0.061,0,0,0,0.00067767
0.062,0,0,0,0.0012245
0.063,0,0,0,0.0016836
0.064,0,0,0,0.0020428
0.065,0,0,0,0.0022928
0.066,0,0,0,0.0024272
0.067,0,0,0,0.0024427
0.068,0,0,0,0.0023399
0.069,0,0,0,0.0021229
0.07,0,0,0,0.0017993
0.071,0,0,0,0.0013797
0.072,0,0,0,0.0008776
0.073,0,0,0,0.00030872
0.074,0,0,0,-0.00030967
0.075,0,0,0,-0.00096
0.076,0,0,0,-0.0016253
0.077,0,0,0,-0.002289
0.078,0,0,0,-0.0029365
0.079,0,0,0,-0.0035557
0.08,0,0,0,-0.0041361
0.081,0,0,0,-0.0046697
0.082,0,0,0,-0.0051516
0.083,0,0,0,-0.0055795
0.084,0,0,0,-0.0059533
0.085,0,0,0,-0.0062742
