x,y,u,v,p
-2,0.5,0.5,0,2.3248
-1.9308,0.5,0,0,1.7028
-1.8627,0.5,0,0,1.1814
-1.7959,0.5,0,0,1.2075
-1.7303,0.5,0,0,1.1266
-1.6658,0.5,0,0,1.0909
-1.6024,0.5,0,0,1.0435
-1.5402,0.5,0,0,1.0046
-1.479,0.5,0,0,0.96549
-1.419,0.5,0,0,0.92919
-1.3599,0.5,0,0,0.89415
-1.302,0.5,0,0,0.86077
-1.245,0.5,0,0,0.82865
-1.1891,0.5,0,0,0.79777
-1.1341,0.5,0,0,0.76796
-1.0801,0.5,0,0,0.73912
-1.0271,0.5,0,0,0.71115
-0.97499,0.5,0,0,0.68398
-0.9238,0.5,0,0,0.65753
-0.87352,0.5,0,0,0.63172
-0.82412,0.5,0,0,0.60651
-0.77559,0.5,0,0,0.58182
-0.72791,0.5,0,0,0.55762
-0.68108,0.5,0,0,0.53386
-0.63507,0.5,0,0,0.51047
-0.58987,0.5,0,0,0.48741
-0.54547,0.5,0,0,0.46462
-0.50184,0.5,0,0,0.44205
-0.45899,0.5,0,0,0.41964
-0.41689,0.5,0,0,0.39731
-0.37554,0.5,0,0,0.37497
-0.33491,0.5,0,0,0.35254
-0.295,0.5,0,0,0.32988
-0.25579,0.5,0,0,0.30687
-0.21727,0.5,0,0,0.28332
-0.17943,0.5,0,0,0.25898
-0.14226,0.5,0,0,0.23356
-0.10574,0.5,0,0,0.20638
-0.069865,0.5,0,0,0.17752
-0.034622,0.5,0,0,0.13368
0,0.5,0,0,0.050904
-2,0.50577,1,0,2.2857
-1.9308,0.50577,0.23988,0.037355,1.6862
-1.8627,0.50577,0.1485,0.0041243,1.1854
-1.7959,0.50577,0.1052,0.0010701,1.2089
-1.7303,0.50577,0.095841,0.00051953,1.1273
-1.6658,0.50577,0.087299,0.00028967,1.0913
-1.6024,0.50577,0.083374,0.00019736,1.0438
-1.5402,0.50577,0.080134,0.00013636,1.0048
-1.479,0.50577,0.078049,0.00010391,0.96563
-1.419,0.50577,0.076367,8.06E-05,0.9293
-1.3599,0.50577,0.075096,6.54E-05,0.89424
-1.302,0.50577,0.074059,5.36E-05,0.86084
-1.245,0.50577,0.073224,4.47E-05,0.82871
-1.1891,0.50577,0.072534,3.75E-05,0.79782
-1.1341,0.50577,0.071967,3.15E-05,0.768
-1.0801,0.50577,0.071498,2.64E-05,0.73915
-1.0271,0.50577,0.071113,2.21E-05,0.71118
-0.97499,0.50577,0.070797,1.83E-05,0.684
