x,y,u,v,p
-2,0.5,0.5,0,5.5284
-1.9308,0.5,0,0,4.3583
-1.8627,0.5,0,0,3.3537
-1.7959,0.5,0,0,3.3574
-1.7303,0.5,0,0,3.2018
-1.6658,0.5,0,0,3.1394
-1.6024,0.5,0,0,3.045
-1.5402,0.5,0,0,2.9736
-1.479,0.5,0,0,2.8949
-1.419,0.5,0,0,2.8235
-1.3599,0.5,0,0,2.7511
-1.302,0.5,0,0,2.6816
-1.245,0.5,0,0,2.6128
-1.1891,0.5,0,0,2.5457
-1.1341,0.5,0,0,2.4796
-1.0801,0.5,0,0,2.4148
-1.0271,0.5,0,0,2.3511
-0.97499,0.5,0,0,2.2885
-0.9238,0.5,0,0,2.2269
-0.87352,0.5,0,0,2.1664
-0.82412,0.5,0,0,2.1069
-0.77559,0.5,0,0,2.0484
-0.72791,0.5,0,0,1.9908
-0.68108,0.5,0,0,1.934
-0.63507,0.5,0,0,1.8781
-0.58987,0.5,0,0,1.823
-0.54547,0.5,0,0,1.7685
-0.50184,0.5,0,0,1.7147
-0.45899,0.5,0,0,1.6613
-0.41689,0.5,0,0,1.6084
-0.37554,0.5,0,0,1.5556
-0.33491,0.5,0,0,1.5029
-0.295,0.5,0,0,1.4499
-0.25579,0.5,0,0,1.3966
-0.21727,0.5,0,0,1.3422
-0.17943,0.5,0,0,1.2868
-0.14226,0.5,0,0,1.2288
-0.10574,0.5,0,0,1.1696
-0.069865,0.5,0,0,1.1056
-0.034622,0.5,0,0,1.0161
0,0.5,0,0,0.73006
-2,0.50577,1,0,5.4489
-1.9308,0.50577,0.20426,0.038021,4.3248
-1.8627,0.50577,0.12773,0.0034068,3.3622
-1.7959,0.50577,0.089757,0.00098885,3.3606
-1.7303,0.50577,0.081699,0.00042647,3.2031
-1.6658,0.50577,0.074973,0.00020056,3.1402
-1.6024,0.50577,0.072749,0.00012131,3.0454
-1.5402,0.50577,0.070824,6.31E-05,2.9738
-1.479,0.50577,0.07007,4.12E-05,2.895
-1.419,0.50577,0.069437,2.27E-05,2.8236
-1.3599,0.50577,0.06916,1.50E-05,2.7511
-1.302,0.50577,0.06894,8.52E-06,2.6817
-1.245,0.50577,0.068836,5.54E-06,2.6129
-1.1891,0.50577,0.06876,3.11E-06,2.5457
-1.1341,0.50577,0.068724,1.84E-06,2.4796
-1.0801,0.50577,0.068701,7.98E-07,2.4148
-1.0271,0.50577,0.068695,1.13E-07,2.3511
-0.97499,0.50577,0.068698,-5.18E-07,2.2885
-0.9238,0.50577,0.06871,-1.10E-06,2.2269
-0.87352,0.50577,0.068731,-1.74E-06,2.1664
-0.82412,0.50577,0.068762,-2.49E-06,2.1069
-0.77559,0.50577,0.068804,-3.43E-06,2.0484
-0.72791,0.50577,0.068861,-4.62E-06,1.9908
-0.68108,0.50577,0.068935,-6.14E-06,1.934
-0.63507,0.50577,0.069032,-8.10E-06,1.8781
-0.58987,0.50577,0.069156,-1.06E-05,1.823
-0.54547,0.50577,0.069317,-1.39E-05,1.7685
-0.50184,0.50577,0.069524,-1.81E-05,1.7146
-0.45899,0.50577,0.069788,-2.36E-05,1.6613
-0.41689,0.50577,0.070125,-3.07E-05,1.6083
-0.37554,0.50577,0.070556,-4.00E-05,1.5555
-0.33491,0.50577,0.071109,-5.22E-05,1.5027
-0.295,0.50577,0.071815,-6.83E-05,1.4497
-0.25579,0.50577,0.072734,-9.07E-05,1.3963
-0.21727,0.50577,0.07392,-0.00012118,1.3418
-0.17943,0.50577,0.075526,-0.00016887,1.2862
-0.14226,0.50577,0.077683,-0.00024416,1.228
-0.10574,0.50577,0.080982,-0.00043216,1.1683
-0.069865,0.50577,0.086925,-0.0010747,1.1027
-0.034622,0.50577,0.10235,-0.0089946,1.0132
0,0.50577,0.18491,-0.072186,0.79295
-2,0.51161,1,0,5.2883
-1.9308,0.51161,0.37517,0.073625,4.257
-1.8627,0.51161,0.24699,0.010584,3.3797
-1.7959,0.51161,0.17838,0.0035991,3.3674
-1.7303,0.51161,0.16183,0.0014739,3.206
-1.6658,0.51161,0.14889,0.00075363,3.1417
-1.6024,0.51161,0.14435,0.00042224,3.0462
-1.5402,0.51161,0.14061,0.00023692,2.9743
-1.479,0.51161,0.13908,0.00014432,2.8953
-1.419,0.51161,0.13784,8.46E-05,2.8238
-1.3599,0.51161,0.13729,5.28E-05,2.7513
-1.302,0.51161,0.13686,3.16E-05,2.6817
