x,y,u,v,p
-2,0.5,0.5,0,0.84859
-1.9308,0.5,0,0,0.53209
-1.8627,0.5,0,0,0.2603
-1.7959,0.5,0,0,0.28462
-1.7303,0.5,0,0,0.25293
-1.6658,0.5,0,0,0.23111
-1.6024,0.5,0,0,0.21023
-1.5402,0.5,0,0,0.19022
-1.479,0.5,0,0,0.17139
-1.419,0.5,0,0,0.15346
-1.3599,0.5,0,0,0.1364
-1.302,0.5,0,0,0.1201
-1.245,0.5,0,0,0.10453
-1.1891,0.5,0,0,0.089599
-1.1341,0.5,0,0,0.075271
-1.0801,0.5,0,0,0.061493
-1.0271,0.5,0,0,0.04822
-0.97499,0.5,0,0,0.035413
-0.9238,0.5,0,0,0.023034
-0.87352,0.5,0,0,0.01105
-0.82412,0.5,0,0,-0.00057123
-0.77559,0.5,0,0,-0.011859
-0.72791,0.5,0,0,-0.022843
-0.68108,0.5,0,0,-0.03355
-0.63507,0.5,0,0,-0.044007
-0.58987,0.5,0,0,-0.054241
-0.54547,0.5,0,0,-0.064281
-0.50184,0.5,0,0,-0.074154
-0.45899,0.5,0,0,-0.083891
-0.41689,0.5,0,0,-0.093523
-0.37554,0.5,0,0,-0.10308
-0.33491,0.5,0,0,-0.11261
-0.295,0.5,0,0,-0.12216
-0.25579,0.5,0,0,-0.13177
-0.21727,0.5,0,0,-0.1415
-0.17943,0.5,0,0,-0.15146
-0.14226,0.5,0,0,-0.1617
-0.10574,0.5,0,0,-0.17259
-0.069865,0.5,0,0,-0.18393
-0.034622,0.5,0,0,-0.20051
0,0.5,0,0,-0.2183
-2,0.50577,1,0,0.82998
-1.9308,0.50577,0.3095,0.035925,0.52425
-1.8627,0.50577,0.1905,0.0055956,0.26216
-1.7959,0.50577,0.13695,0.0012709,0.28519
-1.7303,0.50577,0.12383,0.00063786,0.25322
-1.6658,0.50577,0.11361,0.0004221,0.2313
-1.6024,0.50577,0.10698,0.00029508,0.21036
-1.5402,0.50577,0.10219,0.00022559,0.19032
-1.479,0.50577,0.098479,0.00017962,0.17147
-1.419,0.50577,0.095529,0.00014808,0.15353
-1.3599,0.50577,0.093102,0.00012541,0.13645
-1.302,0.50577,0.091063,0.0001083,0.12015
-1.245,0.50577,0.089319,9.49E-05,0.10457
-1.1891,0.50577,0.087809,8.41E-05,0.089636
-1.1341,0.50577,0.086488,7.52E-05,0.075304
-1.0801,0.50577,0.085324,6.77E-05,0.061523
-1.0271,0.50577,0.084293,6.12E-05,0.048247
-0.97499,0.50577,0.083376,5.54E-05,0.035437
-0.9238,0.50577,0.082558,5.03E-05,0.023056
-0.87352,0.50577,0.081829,4.56E-05,0.01107
-0.82412,0.50577,0.081181,4.12E-05,-0.0005531
-0.77559,0.50577,0.080606,3.70E-05,-0.011843
-0.72791,0.50577,0.080101,3.28E-05,-0.022828
-0.68108,0.50577,0.079661,2.87E-05,-0.033537
-0.63507,0.50577,0.079287,2.45E-05,-0.043996
-0.58987,0.50577,0.078976,2.01E-05,-0.054232
-0.54547,0.50577,0.078731,1.53E-05,-0.064274
-0.50184,0.50577,0.078554,1.02E-05,-0.074149
-0.45899,0.50577,0.078448,4.41E-06,-0.083888
-0.41689,0.50577,0.078419,-2.12E-06,-0.093522
-0.37554,0.50577,0.078475,-9.67E-06,-0.10309
-0.33491,0.50577,0.078626,-1.86E-05,-0.11262
-0.295,0.50577,0.078888,-2.94E-05,-0.12217
-0.25579,0.50577,0.079279,-4.28E-05,-0.13178
-0.21727,0.50577,0.079835,-6.05E-05,-0.14152
-0.17943,0.50577,0.080591,-8.48E-05,-0.15149
-0.14226,0.50577,0.081672,-0.00012408,-0.16175
-0.10574,0.50577,0.083147,-0.00020611,-0.17266
-0.069865,0.50577,0.086094,-0.00046136,-0.18406
-0.034622,0.50577,0.090604,-0.0043029,-0.20028
0,0.50577,0.12899,-0.01576,-0.21392
-2,0.51161,1,0,0.79188
-1.9308,0.51161,0.53959,0.068618,0.50869
-1.8627,0.51161,0.36851,0.016286,0.26649
-1.7959,0.51161,0.2736,0.0048931,0.28646
-1.7303,0.51161,0.24466,0.0023103,0.25388
-1.6658,0.51161,0.2247,0.0015259,0.23171
-1.6024,0.51161,0.21152,0.0010701,0.21065
